(1-15)|1|30673015
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910009
(13-12b)|1|29057001
(13-13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:26)|2|24287001 30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
12.000|1|30816004
1260|2|30876021 30898033
144.000|4|30815011 30928018 30930015 30930035
2400|1|31070028
430|1|29120024
450|1|27383005
666|1|30927026
Abadon|1|30852028
Abia|3|23151028 24899022 24902005
Abihud|1|23157020
Abilene|1|25027036
Abinadab|1|25059002
Abyatar|1|24286017
Adam|15|25064007 28062005 28062035 28062045 28063020 28741011 28764013 28764022 28766002 28766010 28767011 28768010 29730009 29731004 30687007
Adi|1|25054004
Admin|1|25059004
Adoe|1|25616005
Adramitium|1|27858009
Adria|1|27883012
Agabus|2|27336008 27675016
Agama|23|23257028 24114007 24810006 24828006 24869013 25931021 25986049 26571014 27028006 27093004 27095008 27101005 27114030 27117009 27171007 27174003 27710007 27735026 27750005 27755018 27763023 27790023 29113028
Agong|29|24058014 24112012 26761020 26761030 26765002 26810014 27029006 27118002 27737006 27739013 27771006 29995022 29997027 30029023 30030002 30036014 30041010 30042006 30065019 30091007 30093030 30094012 30095006 30096019 30117007 30117024 30155007 30262017 30470006
Agripa|12|27810009 27811019 27819002 27820002 27823040 27825001 27826005 27843004 27850002 27851004 27852002 27856002
Agustus|1|24975005
Ah|2|26370014 26963009
Ahas|1|23151033
Ainon|1|26144014
Ajam|1|26808015
Ajaran|5|26693011 29708001 29830001 29845001 29895001
Ajarannyoe|1|26318015
Akeldama|1|26943024
Akhaikus|1|28794010
Akhaya|12|27570006 27585010 27585027 27585038 27607014 28330008 28792018 28802015 28959034 29000011 29568015 29569014
Akhim|1|23157024
Akhé|34|23221001 23345001 23473001 23685001 23758005 23864001 24115018 24154001 24429001 24652001 24696008 24888001 24919004 25606001 25693013 25793001 26372001 27077001 27135001 27445009 27450006 27621001 27854001 27876022 27928001 29005019 29055001 29348001 29423001 29451001 29592001 29605001 29680001 31060020
Akibat|3|28060015 29375001 29674001
Akwila|8|27560013 27560019 27576029 27577011 27584017 28340008 28796010 29890006
Alam|2|31052013 31053006
Alat-alat|1|28686001
Aleksander|4|27619008 27619028 29717008 29885001
Aleksandria|3|27582014 27862014 27911021
Aleue|1|26839023
Aleuhat|5|24883011 25993004 26869003 26887003 26894002
Alexander|1|24848034
Alfeus|5|23421018 24275019 24307008 25162006 26937038
Alkitab|159|23214005 23216020 23217007 23220011 23393007 23470010 23497002 23744012 23767010 23840011 23843027 23869016 23902010 24079012 24086021 24109011 24111018 24551026 24552025 24658016 24684008 24698016 24776011 24782018 24804032 24855012 25068005 25072005 25074003 25076005 25080025 25085012 25223010 25390009 25778002 25797013 25849026 25902005 25902027 26019015 26024024 26113009 26118035 26250003 26250023 26289013 26367010 26371002 26381012 26517009 26595022 26597034 26649023 26772053 26850034 26854017 26862010 26863002 26877012 26940007 27034013 27392012 27526036 27527004 27535024 27582030 27586025 27740016 27933021 27948040 27987002 27996017 28002006 28026002 28041026 28153002 28169002 28173003 28189004 28195015 28200002 28202002 28204016 28207017 28212020 28218003 28236010 28244002 28265018 28292002 28307010 28308006 28308017 28313019 28325002 28383003 28395007 28404010 28411002 28430013 28467030 28484025 28549016 28575016 28594003 28700002 28722023 28723022 28746002 28764002 28773038 28873002 28901002 28948002 28966002 28989002 29045014 29109008 29111001 29113012 29114020 29115009 29116024 29119016 29119035 29125003 29159003 29162007 29281002 29336002 29761011 29782003 29869011 29869012 29870005 29871002 29984009 30009040 30011006 30019009 30073023 30082003 30141024 30171003 30178032 30302014 30317009 30343004 30344021 30391002 30399002 30403002 30406003 30407019 30435002 30465002 30471027 30539055 30677054
