(10:3)|1|28976001
(10:45)|1|27306001
(10:6)|1|28196001
(11:17)|1|30191001
(12-15b)|1|23505010
(12-18)|1|30910001
(12-31b)|1|28666018
(12:10)|1|24685001
(12:3)|1|29027001
(13-1)|1|30910008
(13-12b)|1|29057001
(13-13)|1|29058001
(13:24)|1|24743001
(13:38)|1|27402001
(13:4)|1|27368001
(13:6)|2|27370001 27371001
(14:1)|11|23600001 23601001 23602001 23603001 23604001 23605001 23606001 23607001 23608001 23609001 23610001
(14:63)|1|24819001
(16-4b)|1|26731020
(18-38b)|1|26824008
(18:2)|1|27561001
(19-16b)|1|26842014
(19:13)|1|27600001
(19:28)|1|25761001
(1:1)|8|24896001 28366001 28367001 29060001 29061001 29468001 29941001 30377001
(1:13)|1|28815001
(1:15)|1|29955001
(1:16)|4|26941001 26942001 26943001 26944001
(1:2)|2|24219001 26048001
(1:20)|1|30694001
(1:24)|1|30698001
(1:28)|1|27992001
(1:3)|1|30379001
(1:32)|1|26078001
(1:4)|3|24221001 24222001 30703001
(1:43)|1|24260001
(1:54)|1|24949001
(1:8)|2|29948001 29949001
(20:14)|1|31054001
(20:2)|1|31042001
(21:18)|1|26918001
(21:24)|1|23852001
(21:34)|1|25862001
(22:34)|1|23908001
(23:18)|1|25955001
(23:26)|4|27762001 27763001 27764001 27765001
(23:50)|1|25987001
(2:10)|1|24272001
(2:12)|1|29841001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:20)|1|29516001
(2:26)|1|30745001
(2:34)|1|25009001
(2:5)|1|28831001
(2:9)|1|23180001
(3:1)|2|23195001 23196001
(3:12)|4|27010001 27011001 27012001 27013001
(3:13)|1|29436001
(3:23)|1|26145001
(3:5)|1|30529001
(4:15)|2|29620001 29621001
(4:24)|1|29157001
(4:36)|1|27060001
(4:7)|1|26165001
(5:11)|1|29776001
(5:2)|6|24368001 24369001 24370001 24371001 24372001 24373001
(5:7)|1|30633001
(6-2b)|1|29791053
(6-6b)|1|24414017
(6:14)|15|24423001 24424001 24425001 24426001 24427001 24428001 24429001 24430001 24431001 24432001 24433001 24434001 24435001 24436001 24437001
(7:49)|1|27167001
(8:10)|1|30839001
(8:13)|1|28947001
(8:27)|2|25274001 25275001
(9-19b)|1|27236008
(9-43b)|1|25345021
(9:1)|1|28959001
(9:13)|1|26455001
(9:30)|1|25333001
1.260|2|30876019 30898023
1/10|1|30886017
1/3|12|30835029 30835039 30836026 30837011 30837027 30838031 30840018 30840036 30840046 30856027 30859028 30896007
1/4|1|30802056
10|1|24894062
12.000|1|30816007
144.000|3|30815010 30928023 30930010
2.400|1|31070027
200.000.000|1|30857017
23.000|1|28576023
42|2|30875041 30914028
430|1|29120018
666|1|30927031
7.000|1|30886024
9|1|24894040
Aahnausi|1|29915005
Aakbere|2|29604001 29678040
Aaknekae|1|30139027
AaknekaeNi|1|25005005
Aalena|1|23550014
Aampune|1|27177013
Aanete|2|29842001 29925001
Aanetesi|1|29926001
Aaseluke|4|24512024 26114011 26761024 30312026
AaselukeMu|1|26691014
Aata|1|25241001
Aatetuke|9|23850032 23889031 23889040 24599017 24688026 25801014 26123021 26131004 29791054
Aatetukesi|5|23843040 29764009 29830033 29873044 29873051
Aatia|4|24367134 25273139 27512006 30891067
Abadone|1|30852017
Abaise|1|26381012
Abaptise|1|23207006
Abei|1|27769010
Abelie|2|24760001 25493001
Abeteke|31|23576025 23889026 23890003 23901006 24118016 24123012 24125009 24688012 24706012 24820019 24823009 24856015 25203014 25239011 25473013 25782007 25929009 25932012 26174011 26183003 26415023 26506017 26506038 26615034 26756009 26768005 27732011 27757009 29890001 29911001 30736036
Abetekele|4|23961051 25385035 25801012 25834014
Abetinake|2|26797013 27852005
Abetu|2|23386029 27840001
Abia|4|23152010 23152011 24899014 24902002
Abihute|2|23158005 23158006
Abilene|1|25027042
Abitike|3|24946007 29709028 29788001
AbitikeNi|1|27050045
Ablake|1|29159018
Abrabahame|1|28164019
Abrahame|140|23146011 23147001 23162003 23202012 23202025 23357036 23905004 24700029 24948013 24948021 24967006 25034026 25034040 25060012 25060013 25535008 25547012 25643011 25644028 25645005 25646002 25650002 25651007 25652001 25741023 25817031 25817040 26351031 26415004 26419008 26421006 26421013 26421020 26422016 26434015 26435001 26435022 26438003 26439013 26440009 27009077 27022025 27119023 27121002 27121019 27122009 27122018 27125004 27125023 27133011 27134008 27149009 27389007 28024013 28025004 28026009 28032035 28033004 28033009 28034040 28034056 28034079 28035002 28035029 28036004 28036018 28039023 28039032 28039046 28039049 28040007 28040019 28041002 28042003 28042029 28046007 28161005 28162024 28163004 28163031 28164003 28165001 28165010 28165013 28211022 28226001 29012019 29012023 29109011 29109013 29110012 29111033 29112001 29112020 29117010 29119006 29119024 29120012 29121043 29122028 29122042 29123023 29123033 29125035 29132010 29154005 29155023 29994012 30058004 30060001 30066023 30067002 30069007 30070034 30071008 30071024 30071038 30074040 30074043 30075006 30075012 30075021 30181002 30181028 30182019 30183001 30184002 30184016 30184021 30185004 30190002 30190020 30190042 30192001 30315006 30316016 30317007 30317026 30317040 30431007
Abua|2|23216013 24655008
Abuka|1|29602015
Abunikele|1|25385029
Abunulu|1|27315008
Abyatare|1|24287002
Adame|25|25064012 25064013 28060020 28060032 28062007 28062024 28062038 28062047 28063014 28063018 28064009 28741004 28741010 28764013 28764022 28766001 28766009 28767008 28767019 28767034 28768007 28768017 29730005 29731001 30687002
Adi|2|25054008 25054009
Adramitiume|1|27858008
Adria|1|27883013
Aela|2|23836035 26435017
Aeleke|1|24170016
Aelekele|2|24856022 26116019
