(1-15)|1|30673015
(10:14)|1|26497001
(10:21)|1|23440001
(10:5)|1|30140001
(11:17)|1|30191001
(11:50)|1|25457001
(12-18)|1|30910001
(12:3)|2|29027001 30217001
(13-1)|1|30910010
(13:5)|1|23546001
(18-38b)|1|26824012
(19-16b)|1|26842010
(1:1)|8|28366001 29060001 29061001 29468001 29699001 29812001 29941001 30377001
(1:13)|1|28815001
(1:16)|1|26941001
(1:2)|1|29564001
(1:21)|1|26946001
(1:54)|1|24949001
(1:7)|1|30275001
(2-16b)|1|29679001
(20:12)|1|31052001
(23:24)|1|25961001
(23:50)|1|25987001
(24:20)|1|26013001
(2:25)|1|24287001
(2:26)|1|30745001
(2:3)|1|29913001
(2:36)|1|25011001
(2:4)|1|24979001
(2:6)|1|24981001
(2:8)|2|28834001 29239001
(2:9)|3|23180001 26960001 26961001
(3:19)|1|30600001
(4:1)|1|29134001
(4:5)|1|24330001
(4:7)|1|26165001
(4:9)|1|29142001
(5-12b)|1|28468001
(5:13)|1|29319001
(5:16)|2|29639001 29640001
(5:7)|1|30633001
(5:8)|1|25117001
(5:9)|1|29315001
(6-6b)|1|24414009
(6:17)|2|24426001 24427001
(8:20)|1|28138001
(8:27)|2|25274001 25275001
(9-43b)|1|25345012
(9:11)|1|28168001
(9:13)|1|26455001
(9:30)|1|25333001
1.000|7|25628024 30531026 30791014 31042033 31043080 31045045 31046004
10.000|3|23752029 25585015 30791017
100|8|23548021 23563043 23756030 24332033 24344033 25254019 25627008 26102031
12.000|1|31070016
120|1|26939008
1260|2|30876018 30898022
144|1|31071010
153|1|26910024
2.000|1|24378024
2.200|1|31070019
200|3|24445026 26265013 27758029
276|1|27893010
3.000|1|26991025
30|4|23548030 23563054 24332024 24344028
300|3|24760026 26586016 30947037
38|1|26216013
4.000|5|23672009 23683012 24510008 24521013 27703024
400|1|27096021
430|1|29120024
450|1|27383011
46|1|26116009
5.000|7|23619011 23682018 24452012 24520015 25316024 26268025 27027023
50|1|25627043
500|2|25237021 28725015
60|4|23548025 23563047 24332028 24344030
66|1|31071015
666|1|30927048
7|1|30781034
70|3|25365009 25381005 27758039
75|1|27131030
800|1|25628062
84|1|25010024
Aa|1|26823007
Abadoni|1|30852021
Abiai|4|23152006 23152007 24899014 24902004
Abiatari|1|24286020
Abihuti|2|23158003 23158004
Abilene|1|25027036
Abrahame|2|25645011 25651013
Abrahami|126|23146014 23147001 23162003 23202008 23202028 23357024 23905006 23905053 24700035 24701039 24948010 24967003 25034027 25034048 25060009 25060010 25535009 25547005 25643025 25644021 25644031 25645008 25646002 25648008 25650001 25651009 25652002 25741004 25817028 25818041 26415007 26419005 26421008 26421020 26421028 26422021 26434018 26435005 26438003 26439018 26440014 27010011 27022020 27119018 27121002 27122028 27123006 27125008 27125049 27133015 27134014 27149012 27389005 28024009 28026009 28032027 28032035 28033007 28034025 28035001 28035029 28036004 28036018 28039028 28039050 28039055 28040007 28040016 28041014 28042003 28045008 28046016 28161005 28163003 28163010 28163022 28164008 28164013 28211027 29012020 29109002 29109013 29110008 29111032 29112001 29112021 29119011 29119026 29120063 29121003 29121047 29122036 29123027 29123043 29132011 29132028 29154006 29155026 29994014 30058007 30060001 30066019 30067002 30069007 30070036 30071015 30072019 30073031 30074023 30074027 30075014 30075020 30181004 30181027 30182037 30183001 30184004 30184025 30185017 30190003 30190028 30192002 30315004 30316004 30317011 30431011
Abrahamia|2|29117013 29124018
Abrahamio|1|30062013
Abu|1|25375001
Adami|15|25064009 25064010 28062006 28062030 28062052 28063022 28066006 28137017 28741004 28764010 28764017 28767007 29730004 29731003 30687007
Adamio|1|28768010
Adareti|1|27160024
Adi|2|25054006 25054007
Adia|14|23257055 23736039 23737033 24050022 24582033 24582037 30161019 30680047 30858045 31049012 31053012 31053016 31054022 31062051
Adiai|1|31062057
Adiao|3|30937055 30938001 31038054
Adimini|2|25059006 25059007
Adramitiumi|1|27858012
Adria|1|27883012
Adronikusi|1|28344004
Aewi|1|30772032
Afahati|2|25062006 25062007
Afai|6|24200001 26828001 26849001 27342009 27857031 27898001
Afiai|1|29940019
Agabusi|2|27336006 27675009
Agama|37|23257033 23435014 24112034 24114006 24727013 24808035 24810006 24870020 25931007 25986043 26122011 26571009 27028004 27036002 27044002 27081052 27082022 27086019 27087007 27093002 27094004 27095005 27101005 27111019 27114025 27117002 27171002 27174002 27327004 27710006 27735026 27736004 27741008 27750008 27755022 27763018 27790022
Agripa|3|27821008 27823035 27843003
Agripae|1|27826003
Agripai|9|27810007 27819002 27820004 27825002 27850002 27850025 27852002 27854003 27856002
Agustusi|2|24975005 24977003
Ah|1|26963005
Ahafo|1|25106001
Ahafoi|1|27895001
Ahang|1|27111023
Ahara|1|27028001
Ahasi|2|23154006 23154007
Ahera|1|27853007
Ai|10|23523001 25190001 25203001 27289001 27595029 27653001 28227001 30121001 30647002 30651001
Aiboi|2|30954032 30960033
Aibong|7|23417010 23559001 24339001 25258001 25261001 25366004 30947001
Aibongfoi|3|23545008 24329008 25257006
Aibongno|1|23562001
Aie|7|23814005 24432008 26100006 26852020 26881006 26883004 30659001
Aifo|1|25857001
Aifoi|1|25191001
