(1-15)|1|30673019
(11:17)|1|30191001
(12-18)|1|30910001
(13-1)|1|30910012
(13-12b)|1|29057001
(13-13)|1|29058001
(15:42)|1|24870001
(16-10)|1|24894080
(16:3)|1|24878001
(1:1)|1|29060001
(1:24)|1|26949001
(1:3)|1|29470001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|1|29408001
(2:16)|1|29679001
(2:25)|1|24287001
(3:23)|1|26145001
(5:12)|1|28468001
12.000|1|30816006
1260|1|30898022
144.000|4|30815011 30928018 30930023 30930041
16-9|1|24894052
2415|1|31070024
60|1|31071011
666|1|30927031
Abadon|1|30852020
Abba|3|24791004 28132046 29138024
Abel|6|23954023 25457006 30177008 30177031 30177054 30237032
Abia|2|23152004 24899022
Abihud|1|23158002
Abilene|1|25027042
Abis|3|27399022 30535013 30835026
Abraham|117|23146019 23146022 23147001 23162005 23202015 23202031 23357027 23905006 24700053 24949009 24967009 25034025 25034043 25060012 25535012 25547005 25643022 25644023 25644031 25645011 25646004 25650005 25651012 25652004 25741019 25817037 26415007 26419006 26421005 26421019 26421029 26422022 26434025 26435018 26438007 26439022 26440015 27010006 27022030 27119024 27121004 27121019 27121025 27122019 27122040 27122051 27125024 27133019 27134013 27149010 27389008 28024010 28025006 28026011 28032028 28035027 28036006 28036014 28036027 28039024 28039045 28040018 28041004 28046005 28163006 28163011 28163018 28164008 28211024 29012026 29109016 29109022 29110019 29111031 29112004 29112023 29117023 29119009 29119030 29121013 29121039 29122043 29122062 29132011 29154010 29994013 30058007 30060006 30066018 30067005 30069017 30070039 30071019 30071025 30071038 30074034 30074039 30181008 30181032 30182011 30182023 30183005 30184009 30184019 30184032 30185017 30190012 30190015 30190030 30190068 30192004 30192018 30315006 30317011 30317029 30431014 30431021
Abuan|1|25375001
Abyatar|1|24286019
Adam|15|25064012 28062016 28062039 28062050 28063011 28741013 28764007 28764018 28766007 28766014 28767008 28768008 29730003 29731004 30687009
Aderia|1|27883010
Adi|1|25054008
Adil|1|30067025
Adilan|1|25839013
Admin|1|25059008
Adong|272|23196014 23214004 23234027 23235034 23266001 23326001 23395008 23500001 23543016 23545001 23547001 23548018 23548023 23563026 23563033 23563039 23573001 23618020 23619001 23682006 23687004 23738018 23756018 23775018 23776001 23823001 23835013 23840006 23855010 23860012 23878016 23953031 23999001 24122012 24219001 24290010 24311015 24327004 24329001 24331001 24332020 24344024 24364014 24378034 24390001 24422022 24448007 24465001 24489001 24510001 24529005 24529013 24540010 24556001 24670004 24675031 24679031 24692001 24803006 24806001 24820009 24834001 24863001 24867001 24950001 24982001 25010001 25030010 25040001 25097001 25098013 25125029 25153014 25164023 25198001 25198009 25232001 25233001 25236009 25237004 25251004 25252001 25253001 25289001 25310001 25316001 25329009 25340001 25341001 25363001 25394004 25402016 25403001 25422001 25473001 25476010 25476016 25525010 25530001 25600009 25622010 25640001 25641001 25661001 25696023 25699003 25704001 25734001 25744007 25789010 25819001 25832001 25851001 25968001 25976012 25986001 26033021 26091006 26095006 26102001 26122001 26189005 26203018 26213019 26216001 26267001 26281001 26319028 26325011 26341011 26341018 26364022 26370001 26373001 26376001 26377001 26381001 26400001 26432008 26435010 26450001 26457001 26468019 26498001 26525001 26573001 26660001 26679004 26787022 26819019 26855001 26867001 26867014 26904006 27009024 27145001 27169001 27186001 27227001 27261001 27272001 27273001 27327024 27364001 27444001 27485011 27498001 27525022 27528001 27542031 27556020 27593001 27596001 27599001 27630001 27674001 27681001 27688009 27717001 27744007 27748001 27776014 27811022 27858021 27863001 27876001 27893001 27924001 28032001 28110028 28166005 28208004 28211004 28229005 28283001 28286001 28314001 28376006 28377001 28377007 28423001 28431001 28470001 28480001 28481001 28509001 28515001 28515013 28535007 28545001 28548001 28587005 28623015 28645043 28705020 28753010 28758012 28763014 28792001 28843001 28873001 28966001 29001005 29012001 29012011 29012021 29040001 29041020 29068001 29068022 29099037 29105011 29108014 29148001 29153019 29584001 29589001 29667001 29703001 29716007 29792001 29799015 29848029 29860001 30088001 30094010 30107001 30108014 30209001 30220016 30252001 30331001 30711028 30732018 30771015 30772014 30773001 30775017 30851001 30852001 30864001 30893012 30893027 30895011 30910022 30910029 30928016 30941023 30948014 30980020 31030016 31069001
Adopanmunu|1|30236030
Adramitium|1|27858002
Aek|1|24224001
Agabus|2|27336010 27675018
Agrippa|12|27810010 27811017 27819004 27820006 27821015 27823026 27825003 27826005 27843004 27851004 27852005 27856005
Agustus|1|24975003
Ah|6|23675011 23676006 23806010 23865018 25796035 26963011
Aha|78|23314010 23314015 23314020 23468001 23699001 23783014 23825010 23865027 24063010 24070006 24153001 24243012 24354014 24400024 24432014 24475020 24537001 24537017 24555001 24572016 24592010 24625001 24640001 24759014 24841001 25038016 25040012 25130014 25156012 25327001 25390012 25477007 25479030 25526031 25526037 25623011 25624006 25725016 25730001 25785009 25958015 26011001 26067022 26100004 26184028 26184033 26286007 26365001 26407011 26415020 26608007 26744014 26745001 26815010 26821024 26824006 26962014 27039004 27213026 27228007 27264012 27281020 27542020 27678005 27715007 27754020 28024011 28148001 28291006 28549001 28587001 28748018 28915001 29984014 30248017 30308004 30310001 30352013
Ahana|1|24134023
Ahas|1|23154004
Ainon|1|26144010
Ajaran|1|26303010
Ajari|1|29873029
Ajarkon|2|29759001 29924001
Akaikus|1|28794013
Akaya|11|27570007 27585012 27585030 27585045 27607021 28330012 28802031 28959027 29000013 29568021 29569015
Akhaya|1|28792028
Akhim|1|23159006
Akuila|8|27560012 27560021 27576033 27577013 27584017 28340010 28796012 29890007
Alap|1|29882009
Ale|37|23165023 23292010 23365009 23367011 23371011 23372006 23485007 24105004 24266016 24399009 24895001 25087016 25408016 25801008 25907004 25970006 25982007 26283015 26292006 26443008 26771021 26785001 26795014 26935003 27063007 27159033 27176014 27234021 27263024 27514012 28190001 30218014 30314001 30601001 30664001 30780001 30804010
Ale-ale|1|30317030
Aleksander|5|24848037 27029013 27619009 29717008 29885002
Aleksandria|4|27111029 27582016 27862011 27911021
Alfeus|4|23421022 24275020 24307016 25162011
Alo|2|23579001 30475001
Alogo|4|23630013 24365019 25270034 25271029
Alongki|1|23568005
Aloon|1|25513001
Alpa|1|31094003
Alpeus|1|26937052
Alus|1|26209015
Alusan|3|24049001 24054001 25544035
Alusanmunu|1|25545001
Ama|94|23438009 23487024 23583021 24215028 24750030 25386031 25419018 26059022 26063017 26180018 26230042 26231007 26233005 26234029 26237003 26237016 26247031 26248002 26248022 26288020 26409006 26518020 26675019 26677011 26678032 26678042 26679017 26679020 26680011 26680014 26681033 26682017 26685006 26695019 26697030 26697035 26700011 26700022 26708008 26726007 26726022 26742008 26750024 26752031 26753006 26753017 26754002 26755007 26759033 26763010 26763025 26764003 26764016 26983015 28073029 28310009 28534012 28804004 28804011 28917004 29021004 29059038 29210004 29248009 29266012 29279008 29325007 29361004 29403016 29469031 29478004 29478007 29535023 29562017 29812017 29897017 30377005 30378008 30398028 30497010 30543033 30544027 30552030 30565012 30566029 30573029 30574010 30575033 30581012 30618015 30649025 30650028 30655044 30674023
AmaNa|2|26063013 30704018
Amang|33|23463004 23485008 23486002 23928011 24094017 24097019 24791006 24791014 24791034 24848034 25022013 25385020 25385050 25730020 25907005 25970007 25982008 26565023 26608015 26609005 26761017 26761030 26765001 26766004 26766021 26771022 26785002 26795015 26911026 28132048 29138026 29829001 30392003
AmangMi|1|26401004
AmangMu|3|27396031 29969018 30036031
AmangNia|8|23700011 24539036 26229050 26230029 26632021 26634007 29969035 30928040
Amangmu|1|23289018
Amangmunu|22|23251025 23280005 23283007 23284033 23287009 23291006 23297011 23298011 23301011 23309032 23315017 23328016 23447024 23742006 23928016 24666022 24667012 25183008 25490015 25492015 26424012 26885036
Amangnami|3|23292011 25408017 26423021
Amangnia|1|25328039
Amanta|23|27938030 28367009 28743025 28803011 29061011 29062018 29209011 29364011 29463005 29468027 29564007 29602004 29604022 29651017 29652011 29678011 29678027 29699019 29942011 30222021 30294012 30329009 30649016
Ambungkon|1|29295001
Ambungkonon|3|24039001 25379014 25589019
Ambungkononkon|1|23582001
Amen|29|27956034 28161031 28246021 28337013 28361011 28364020 28695021 28821022 29063008 29207013 29273016 29463008 29714022 29805041 29889030 30263042 30458051 30477008 30541034 30698030 30704029 30705040 30761018 30794008 30823004 30823020 31022032 31101012 31102012
Aminadab|2|23149002 25059004
Amon|1|23155004
Amos|1|25051008
Ampipolis|1|27525015
Ampliatus|1|28345004
