(1-15)|1|30673014
(1-6b)|1|23151001
(10:1)|1|28974001
(10:14)|2|26497001 28204001
(10:28)|1|28597001
(10:3)|1|28572001
(10:43)|1|24633001
(11:17)|1|30191001
(12-18)|1|30910001
(12:10)|1|26592001
(12:3)|1|29027001
(13-1)|1|30910009
(13:13)|1|29058001
(14:3)|2|23602001 23603001
(14:35)|1|24791001
(15:24)|2|28744001 28745001
(15:42)|1|24870001
(1:1)|12|28366001 28367001 29060001 29468001 29699001 29812001 29895001 29896001 29897001 29941001 30377001 30648001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|30494001
(1:15)|2|29223001 29378001
(1:16)|1|29827001
(1:17)|1|30498001
(1:2)|3|23148001 23149001 23150001
(1:26)|1|29493001
(1:4)|1|30703001
(1:48)|1|24943001
(1:54)|1|24949001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:8)|2|29948001 29949001
(1:9)|1|29707001
(20:26)|1|23820001
(22:43)|1|25909001
(23:18)|1|25955001
(23:50)|1|25987001
(2:14)|1|27978001
(2:16)|1|29679001
(2:19)|1|27983001
(2:2)|1|30403001
(2:22)|2|24997001 24998001
(2:25)|1|29854001
(2:26)|1|30745001
(2:7)|1|30509001
(2:9)|1|23180001
(3:10)|1|28422001
(3:14)|1|29747001
(3:18)|1|29271001
(3:19)|1|30600001
(3:23)|1|26145001
(3:24)|1|29128001
(3:29)|1|28022001
(3:3)|1|29256001
(3:8)|1|30005001
(4:1)|1|29134001
(4:10)|1|28034001
(4:14)|1|28449001
(4:15)|1|29289001
(4:24)|1|29157001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:13)|1|29319001
(5:20)|1|29184001
(5:22)|1|29186001
(5:6)|2|24372001 24373001
(6:14)|1|29353001
(6:17)|1|24426001
(6:21)|1|29360001
(6:22)|1|25170001
(6:6)|1|28076001
(6:7)|2|24416001 24417001
(7:10)|1|28499001
(7:13)|1|30079001
(7:18)|1|30084001
(7:24)|1|28117001
(7:25)|1|24490001
(8:27)|3|25274001 25275001 27205001
(8:5)|1|28123001
(9:11)|1|28168001
(9:13)|1|26455001
(9:16)|1|30123001
(9:30)|1|25333001
(9:43)|1|24583001
(9:45)|1|24585001
1.000|8|24024035 24027005 24033005 24037011 25628017 27820011 30531026 30531031
1.260|2|30876048 30898034
10.000|5|24029016 24037024 25585023 25585034 25586012
100|36|23351010 23354003 23359006 23548032 23563044 23740013 23792037 24184003 24332047 24344050 24866003 25198005 25199003 25200021 25200038 25202020 25206013 25254022 25593006 25627007 25983003 26102031 26907032 27261015 27730017 27731003 27752005 27753003 27758009 27793005 27857029 27862005 27867004 27887005 27899004 28042006
12.00|3|24175002 24860002 25980003
