(1-15)|1|30673018
(12-18)|1|30910001
(13-1)|1|30910010
(13:13)|1|29058001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|7|28366001 28367001 29060001 29061001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:2)|4|23148001 23149001 23150001 29564001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(2:16)|1|29679001
(4:7)|1|26165001
AKU|3|26406031 26410027 26650022
Aa|1|24856017
Abadon|1|30852015
Abas|1|23738001
Abba|2|28132033 29138022
Abel|2|23954020 25457004
Abia|3|23151026 24899017 24902020
Abihud|1|23157025
Abilene|1|25027042
Abinadab|1|25059003
Abraham|110|23146012 23147002 23162004 23202013 23202032 23357019 23905005 24700020 24949012 24967006 25034021 25034039 25060009 25535008 25547007 25643019 25644019 25645008 25646004 25650003 25651012 25652004 25741018 25817023 26415003 26419006 26421006 26421016 26421026 26422020 26434021 26435003 26435030 26438007 26439021 26440014 27010004 27022023 27119022 27119031 27121018 27122014 27122025 27133017 27134013 27149006 27389008 28024008 28026009 28032029 28033014 28034049 28035006 28035027 28036012 28039022 28039044 28039055 28040021 28040026 28041013 28042005 28046014 28163006 28164004 28211021 29012025 29109010 29109015 29110013 29111034 29112005 29112019 29117014 29119010 29119024 29121023 29122037 29122045 29132008 29154010 29994012 30058006 30060006 30066019 30067004 30069015 30070031 30071016 30071022 30073022 30074019 30075008 30181014 30182007 30182026 30183003 30184008 30184017 30185010 30190009 30190013 30190029 30190037 30192004 30192029 30315005 30317011 30317033 30431011
Abu|1|25375001
Abyatar|1|24287014
Abèl|2|30177025 30177037
Abèna|1|30848022
Aci|1|25794022
Adam|15|25064009 28062013 28062030 28062041 28063017 28741007 28764015 28764021 28766007 28766015 28767008 28768007 29730003 29731005 30687010
Adi|1|25054006
Adil|4|28170014 30055001 30067018 31029021
Admin|1|25059006
Adoi|2|26074016 26081013
Adramitium|1|27858008
Adria|1|27883009
Adumna|5|29354001 29423001 29451001 29605001 29680001
Agabus|2|27336009 27675018
Agama|18|23174009 23255017 23257025 23284007 23365007 23435015 23473002 23492020 23495009 23528008 23635010 24828005 25637002 27171005 27750010 27790025 27990016 27990040
Agia|1|24431019
Agoi|2|24791013 25189024
Agripa|14|27810010 27811016 27819004 27820004 27821008 27823030 27825004 27826003 27831033 27843005 27850006 27851010 27852004 27856004
Agustus|1|24975007
Ah|7|25100009 25693017 25796025 25923028 26349006 26370019 26375005
Ah,oda|1|26610022
Ahas|1|23151038
Ai|526|23208010 23281001 23288010 23291004 23296012 23299012 23301016 23304001 23315009 23325001 23346001 23355001 23485032 23490001 23524015 23530001 23531017 23532021 23552001 23555001 23602001 23602017 23636008 23638001 23648008 23653001 23657021 23690012 23696020 23698001 23699018 23700001 23716010 23744015 23807007 23849001 23859016 23901019 23902004 23916022 23924010 23931001 23932008 23946011 23964013 23979001 24018009 24033021 24038001 24083001 24113033 24238008 24254016 24285016 24299001 24318009 24393001 24404015 24425001 24428001 24458008 24463019 24464044 24467001 24470019 24515007 24536001 24579001 24634001 24699001 24791006 24877019 24931001 24938001 25004001 25074001 25117001 25179014 25181017 25201001 25259025 25264008 25347009 25350031 25454010 25472001 25483001 25490010 25492007 25494001 25504004 25508020 25544001 25565001 25582001 25673010 25737023 25742001 25753001 25813019 25835012 25936011 25942010 25958013 26014014 26059021 26123019 26125015 26137001 26138001 26166016 26169001 26199001 26215001 26230033 26249001 26291001 26294005 26298001 26304010 26313001 26316015 26326011 26329010 26334001 26347001 26363010 26367001 26368012 26371001 26401011 26407001 26408020 26423015 26511001 26512001 26571021 26607020 26616024 26624001 26628012 26629001 26642001 26668009 26838032 26911021 26944001 26959001 26977001 26989001 27007001 27043001 27050001 27057001 27090001 27096001 27098016 27157001 27184001 27200001 27210010 27232011 27286014 27410001 27432015 27464001 27544001 27547001 27555001 27586020 27640018 27656001 27731020 27756032 27764013 27824001 27833001 27834009 27840009 27842026 27850001 27879001 27880009 27881001 27926001 27927001 27942001 27945001 27950012 27952001 27969001 27996017 27998007 28001016 28015001 28022001 28027001 28037001 28038001 28039048 28041001 28055001 28058001 28064015 28065026 28074001 28076001 28078001 28092001 28107007 28111001 28117011 28120001 28131001 28132001 28136001 28137001 28140019 28141001 28141022 28143001 28146001 28159006 28165001 28167001 28171001 28173001 28181001 28193001 28198001 28199001 28202001 28205009 28206001 28207017 28211013 28216016 28226001 28231001 28232015 28239001 28242001 28266017 28271030 28276001 28290001 28291020 28298001 28299001 28304032 28307001 28355001 28356001 28369014 28377001 28381025 28384017 28389001 28391001 28397001 28403011 28405010 28409024 28411001 28422001 28437019 28438001 28454001 28458001 28462025 28488001 28497009 28502001 28510001 28536012 28543018 28561001 28581001 28598001 28607001 28613001 28619001 28624001 28627001 28630001 28649001 28675001 28681001 28693001 28695001 28700001 28711001 28715001 28728001 28740001 28746001 28757001 28763020 28773001 28786001 28805001 28814001 28821001 28822001 28825001 28827001 28828024 28840001 28842001 28845001 28856023 28874001 28876008 28877001 28878001 28880001 28885001 28888001 28915009 28921012 28927001 28928019 28931014 28942001 28950001 28954001 28959001 28959015 28964016 28966001 28974018 28976001 28980001 28984015 28990001 28994001 28998001 29009001 29013023 29028007 29033034 29034021 29037027 29041027 29043001 29052001 29086022 29094001 29098031 29098057 29101001 29102011 29111024 29113014 29121001 29124013 29159027 29167001 29169001 29182001 29192001 29194001 29203019 29214001 29218010 29255001 29272001 29294007 29302023 29317001 29318001 29328001 29358001 29369014 29372006 29379016 29380006 29383001 29391001 29418001 29422001 29426012 29427001 29430012 29446014 29455001 29455014 29459001 29473013 29479001 29481016 29482001 29490013 29507001 29508001 29512001 29524001 29531010 29533013 29542026 29566001 29569001 29578001 29583015 29595001 29607001 29611001 29613014 29624001 29629001 29632001 29665011 29686011 29689001 29696009 29701013 29703008 29710001 29747026 29752001 29762011 29779001 29782001 29794011 29796001 29799001 29801017 29810001 29826020 29827001 29845001 29851010 29862023 29874001 29909016 29920001 29923001 29927001 29933023 29935001 29949014 29981022 29999013 30010001 30011001 30017001 30017024 30022001 30025001 30027001 30049014 30078007 30082001 30099016 30102021 30104019 30118001 30119001 30120007 30123001 30125001 30130001 30132001 30154001 30166009 30179011 30192001 30199001 30206001 30217001 30229017 30230017 30242001 30246021 30253001 30259012 30270001 30277016 30296001 30366033 30382001 30384001 30404008 30406001 30415001 30416001 30419001 30437001 30445012 30453016 30466025 30494001 30497001 30501001 30506016 30511015 30528001 30544016 30566010 30574001 30578024 30580001 30586011 30587009 30594001 30605035 30622029 30657001 30666001 30680028 30684005 30731016 30749017 30766001 30811001 30860001 30869001 30902017 30902034 30951015 30978001 30984048 30993001 30999001 31028040 31045013
Ainon|1|26144008
Ajari|1|29911001
Ajarken|2|29910006 29924001
Akeldama|1|26943020
Akhaikus|1|28794012
Akhaya|11|27570008 27585008 27585022 27607016 28330006 28792019 28802014 28959024 29000017 29568015 29569017
Akhim|1|23157033
