(1-15)|1|30673015
(10:2)|1|28571001
(10:20)|1|23439001
(10:34)|1|23453001
(10:4)|1|30139001
(11:1)|1|30875001
(11:16)|1|30190001
(11:22)|2|27331001 27332001
(11:49)|1|25456001
(12-18)|1|30910001
(12:2)|1|30216001
(12:3)|1|28250001
(12:30)|1|23521001
(12:34)|1|25495001
(12:35)|1|24710001
(12:6)|1|23497001
(12:9)|1|26591001
(13-1)|1|30910017
(13-12b)|1|29057001
(13-13)|1|29058001
(13:11)|1|24730001
(13:13)|1|23554001
(13:31)|1|27395001
(14:2)|1|23601001
(14:3)|1|24759001
(14:62)|1|24818001
(15:12)|1|23647001
(15:16)|2|27460001 27461001
(15:24)|1|27468001
(15:36)|1|23671001
(15:4)|1|23639001
(15:41)|1|24869001
(15:9)|1|27453001
(16:22)|1|28360001
(16:28)|1|26756001
(17:8)|1|26769001
(18:8)|1|27567001
(19:12)|1|27599001
(19:38)|1|27625001
(19:5)|1|27592001
(1:1)|3|28366001 29060001 29468001
(1:12)|2|28814001 30493001
(1:16)|3|29827001 29828001 30715001
(1:2)|2|27934001 30676001
(1:20)|1|26945001
(1:22)|1|30290001
(1:31)|1|26077001
(1:4)|2|24221001 24222001
(1:5)|1|29472001
(1:53)|1|24948001
(1:6)|1|30274001
(1:72)|1|24967001
(1:8)|1|27940001
(1:80)|1|24975001
(20:14)|1|27642001
(20:25)|1|27653001
(20:4)|1|31044001
(20:42)|2|25823001 25824001
(20:5)|1|26874001
(20:7)|1|27635001
(21:15)|1|25843001
(21:7)|1|27673001
(23:11)|1|27747001
(23:33)|1|23953001
(23:49)|1|25986001
(25:1)|1|27799001
(25:25)|1|27823001
(26:7)|1|24063001
(28:25)|1|27926001
(2:11)|1|27975001
(2:13)|1|29244001
(2:14)|2|28840001 30566001
(2:15)|1|29678001
(2:16)|1|28412001
(2:18)|1|26969001
(2:24)|1|24286001
(2:25)|1|26976001
(2:3)|2|24978001 30404001
(2:35)|1|25010001
(2:5)|1|29577001
(2:6)|1|30508001
(2:8)|1|23179001
(3:14)|1|30762001
(3:17)|1|29270001
(3:2)|3|23196001 23197001 23198001
(3:20)|1|28013001
(3:28)|1|26150001
(3:7)|1|30004001
(3:8)|1|24298001
(4:1)|2|26159001 26160001
(4:2)|1|29546001
(4:20)|1|27044001
(4:4)|1|26162001
(4:45)|1|26203001
(4:6)|1|26164001
(4:7)|1|29756001
(5:11)|1|28467001
(5:12)|1|28061001
(5:15)|1|30641001
(5:19)|1|26231001
(5:2)|2|24368001 28458001
(5:26)|1|24392001
(5:36)|1|26248001
(5:6)|1|24372001
(6:1)|1|29340001
(6:12)|1|30058001
(6:15)|1|26274001
(6:16)|1|24425001
(6:22)|2|26281001 26282001
(6:48)|1|24457001
(7:10)|1|24475001
(7:12)|1|30078001
(7:17)|1|30083001
(7:2)|2|24467001 24468001
(7:24)|1|24489001
(8:27)|1|25274001
(8:37)|1|28155001
(8:7)|1|24509001
(9:10)|1|28167001
(9:19)|1|23400001
(9:30)|1|28187001
(9:6)|1|28163001
1,260|2|30876052 30898027
1,500|1|25627032
12|1|30816007
12,000|1|31070033
144|3|30815029 30928025 30930049
153|1|26910027
2,400|1|31070037
200|1|30857021
430|1|29120031
450|1|27383009
666|1|30927032
Abadon|1|30852026
Abia|4|23152015 23152018 24899038 24902012
Abihud|2|23158007 23158009
Abilene|1|25027056
Abinadab|2|23149007 23149009
Abraham|118|23146028 23147004 23202015 23202045 23357061 23905005 23905024 24700059 24700078 24949015 24949053 25034035 25034065 25060022 25060024 25535007 25547016 25643016 25644023 25645010 25646003 25650003 25652003 25741027 25817051 25818008 26415008 26419007 26421007 26421020 26421031 26422035 26434019 26435015 26435022 26438011 26439017 26440010 27010005 27119035 27121003 27121022 27125013 27125033 27133021 27134009 27149016 27389008 28024006 28026008 28026021 28026032 28032032 28032043 28033012 28033023 28034022 28034044 28035022 28036016 28036028 28039043 28039078 28039086 28040039 28041002 28042006 28045007 28046006 28046012 28161017 28164004 28164048 28164058 28211037 29012029 29012038 29109007 29109020 29109031 29110021 29110028 29111035 29119025 29121041 29122091 29132014 29154003 29158027 29160055 29161006 29162077 29994023 30060007 30066020 30066039 30067004 30069016 30070044 30071022 30071031 30073064 30075006 30075018 30075030 30075039 30181004 30183007 30185005 30191004 30191016 30191062 30315011 30315061 30316006 30317013 30317024 30431007
Abrahamka|29|23162004 24968006 27022026 27122014 27122038 27122046 27125008 28039039 28164029 28165010 29112011 29117019 29118009 29119010 29120011 29120054 29120063 29123010 29123020 29123030 29125061 29132027 29155028 29160026 30059009 30062012 30066049 30071053 30191037
Abrahamno|1|26351048
Abram|1|27120003
Abyatar|1|24287027
Adam|19|25064023 25064026 28060021 28062005 28062086 28062114 28063013 28063062 28064006 28064053 28741006 28764018 28764039 28766020 28767012 28768013 29730003 29731004 30687038
