(1-15)|1|30673013
(10:14)|1|26497001
(10:4)|1|25369001
(11:35)|1|26560001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910007
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|7|28366001 28367001 29060001 29061001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(5:7)|1|30633001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
3|2|23623004 24456022
6|2|23623007 24456025
666|1|30927022
Aa|2|26370011 26963010
Aajalia|1|29873029
Aalamu|3|30802018 31052012 31053004
Aa̒a-yatiyaala|1|25085009
Abadon|1|30852023
Abaraham|1|30070033
Abia|3|23151025 24899019 24902007
Abihud|1|23157019
Abilene|1|25027040
Abraham|127|23146013 23146016 23147001 23162004 23202013 23202030 23357014 23905005 24700033 24949009 24967004 25034018 25034034 25060006 25535010 25547005 25643015 25644017 25644025 25645002 25646003 25650002 25651009 25652003 25741028 25817027 26415006 26419008 26421008 26421013 26421024 26422019 26434020 26435003 26435025 26438003 26439017 26440011 27010006 27022026 27119017 27121003 27121017 27121024 27122014 27122018 27122037 27122042 27122049 27125019 27125023 27133014 27134009 27149009 27389006 28024008 28026005 28032031 28032041 28033016 28034041 28035002 28035042 28036005 28036015 28036024 28039022 28039063 28039069 28040007 28040025 28040028 28041002 28042002 28042031 28045004 28046017 28163005 28163016 28164007 28211020 29012018 29109011 29109014 29110012 29111026 29112002 29112015 29117014 29119009 29119015 29119026 29121026 29122034 29122042 29132011 29154005 29994010 30058006 30060002 30066018 30067003 30069015 30071021 30071027 30074022 30074025 30075015 30075022 30181006 30181029 30182005 30182019 30183003 30184006 30184014 30184023 30185003 30190007 30190029 30191006 30192002 30192019 30315004 30317009 30317032 30431008
Abrahamulo|1|30190021
Abyatar|1|24286014
Adamu|15|25064006 28062005 28062030 28062040 28063023 28741010 28764009 28764015 28766002 28766010 28767008 28768010 29730007 29731004 30687006
Adi|1|25054004
Admin|1|25059004
Adramitium|1|27858009
Adria|1|27883010
Aduu|3|31004013 31010003 31013015
Agabus|2|27336006 27675017
Agama|24|23257022 24114008 24810007 24828006 24869015 25931022 25986036 26571013 27028006 27093004 27095007 27101007 27114028 27117007 27171004 27174003 27710008 27735031 27750008 27755019 27763020 27790022 29113026 29114014
Agripa|13|27810009 27811017 27819003 27820004 27821007 27823037 27825002 27826004 27843004 27850003 27851004 27852003 27856003
Agustus|1|24975005
Ahadi|2|24197007 25993002
Ahasa|1|23151031
Ahulaalo|1|26268001
Ahuli|5|25316016 25404030 25645009 25649008 27321018
Ahulilo|1|24377009
Ainom|1|26144013
Ajaalia|1|24216001
Ajur|1|23157021
Akeldama|1|26943019
Akhaikus|1|28794011
Akhaya|12|27570007 27585008 27585023 27585037 27607013 28330006 28792015 28802017 28959027 29000015 29568013 29569015
Akhim|1|23157023
Akibatilio|3|28060015 29375001 29674001
Akwila|8|27560010 27560018 27576026 27577013 27584015 28340008 28796011 29890005
Alamasi|1|29442014
Aleksander|5|24848029 27029010 27619008 27619022 29717007
Aleksandria|4|27111028 27582012 27862009 27911015
Alexander|1|29885002
Ali-alihu|1|27538001
Aliheo|1|25611009
Alihu|6|23280001 26621022 29300001 29341002 29607006 30684009
Allah|1|29983006
