(1-15)|1|30673013
(10:14)|1|26497001
(10:19)|1|30154001
(10:3)|1|28572001
(10:34)|1|26517001
(10:6)|1|28196001
(11:1)|1|26526001
(11:17)|1|30191001
(11:4)|1|27313001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910011
(13:20)|1|30263001
(15:13)|1|23648001
(18:14)|1|31009001
(19:13)|1|27600001
(1:1)|3|29060001 29699001 29812001
(1:10)|1|30386001
(1:13)|1|28815001
(1:15)|1|28817001
(1:16)|1|29679001
(1:2)|2|24219001 26927001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|2|27935001 29666001
(1:31)|1|24926001
(1:7)|1|30275001
(1:73)|1|24968001
(2-19)|1|29996023
(20:12)|1|31052001
(20:14)|1|31054001
(20:23)|1|25804001
(21:30)|1|23858001
(23:12)|1|27748001
(23:24)|1|25961001
(23:50)|1|25987001
(27:9)|1|24140001
(2:11)|1|29583001
(2:26)|1|30745001
(2:30)|1|26981001
(2:5)|1|24267001
(3:18)|1|29271001
(3:23)|1|26145001
(3:35)|1|25062001
(4:24)|1|29157001
(4:7)|1|26165001
(5:12)|1|28468001
(5:5)|1|27066001
(6:17)|1|24426001
(6:3)|1|23287001
(7:13)|1|30079001
(7:14)|1|27132001
(7:24)|1|28117001
(7:25)|1|24490001
(8:1)|2|25248001 27179001
(8:22)|1|27200001
(8:27)|3|25274001 25275001 27205001
(8:6)|1|27184001
(9:11)|2|28168001 30118001
(9:13)|1|26455001
(9:2)|1|28159001
(9:4)|1|28546001
A|10|23414008 23514013 25584004 25591013 25625001 25796024 26091005 26116007 26318010 26963012
Abadon|1|30852025
Abia|4|23152009 23152010 24899030 24902005
Abihud|2|23158004 23158005
Abilene|1|25027040
Abraham|128|23146013 23147001 23162003 23202008 23202032 23357029 23905003 23905025 24700039 24701017 24949004 24967007 25034019 25034043 25060009 25060010 25535008 25547005 25643018 25644012 25645007 25646003 25650003 25652003 25741017 25817027 25818022 26415009 26419006 26421007 26421015 26421023 26422023 26434017 26435007 26438004 26439025 26440009 27010008 27022017 27119014 27121004 27122009 27122025 27122031 27122040 27123008 27125008 27125017 27125021 27133016 27134008 27149009 27389006 28024004 28025003 28026010 28032041 28033002 28034046 28035023 28036006 28036021 28039033 28039050 28039052 28040023 28042002 28046010 28161003 28163006 28163021 28164008 28164021 28165007 28211022 29012022 29012026 29109011 29109013 29110017 29111028 29112001 29112025 29117014 29119010 29119024 29119035 29120006 29120025 29121003 29121028 29122027 29122034 29123014 29132009 29132019 29154007 29154020 29155024 29159014 30058006 30060003 30066015 30066026 30067003 30069007 30070029 30071019 30071027 30073024 30074024 30075007 30075013 30181003 30183001 30184003 30184014 30185002 30190004 30190021 30190036 30192013 30315003 30316008 30317011 30317026 30431007
Abyatar|1|24287007
Ada|2|30446020 30446043
Adam|19|25064029 25064030 28060014 28060018 28062007 28062028 28062034 28063003 28063019 28063022 28064011 28741007 28764010 28764019 28767009 28768008 29730007 29731003 30687005
Adi|2|25054007 25054008
Admin|2|25059006 25059007
Adramitium|1|27858009
Adria|1|27883010
Aga|71|23220026 23354015 23467025 23611034 23702019 23994020 24402013 24610013 24750020 25072015 25091027 25203009 25220025 25297018 25465029 26105018 26134014 26326011 26350005 26378001 26544012 26623011 26641016 26841031 26860001 26907001 27035001 27073012 27178056 27371001 27409023 27464001 27471023 27485035 27650001 27743025 27777001 27823001 27853034 28163023 28201021 28217012 28270010 28275016 29036013 29065007 29092001 29105001 29279001 29670001 29694001 29804014 29805001 29867001 29882001 30030016 30350017 30462001 30506023 30594026 30622019 30630009 30681006 30743001 30751001 30800031 30845013 31004035 31013043 31062001 31096001
Agabus|2|27336009 27675018
Agama|92|23257023 23913008 24058016 24106017 24112014 24113012 24114010 24117006 24118013 24120005 24287011 24802018 24808010 24809013 24810010 24815005 24816017 24818005 24821016 24828017 24870016 25028011 25915010 25919011 26571012 26573015 26575015 26796016 26799020 26801019 26801033 26802018 26805006 26810020 26812007 27029006 27029023 27077006 27081030 27081042 27082027 27087009 27087015 27093013 27094005 27101008 27114030 27117008 27118005 27171004 27218021 27710003 27710008 27735031 27737008 27739013 27740012 27741010 27750021 27755019 27763009 27771006 27790023 29997025 30029013 30030004 30032005 30035011 30035031 30036012 30037010 30041008 30064025 30065016 30076036 30076055 30078003 30080014 30085011 30091005 30092007 30093016 30093033 30094012 30095007 30096005 30113005 30117007 30131005 30153057 30155006 30253016
Agamana|1|30293020
Aganggari|1|29235019
Agina|28|23303001 23613025 23728010 24444001 25465008 25526026 26285012 26332007 26462023 26464009 26807007 26826011 26847016 26850011 26944030 27104031 27671015 27689001 27731015 27868022 28070009 28297017 28302001 28524028 28707017 29175001 30251015 30434020
Aginamo|4|25793006 25965010 27523025 27534014
Aginapa|4|23534005 25384012 25430025 29727001
Agripa|15|27339008 27810006 27811016 27819006 27820005 27821009 27823028 27825004 27826002 27843004 27850003 27851002 27852004 27854004 27856003
Agustus|1|24975004
Ahas|2|23154008 23154009
Ai|1|27201005
Ainon|1|26144014
Aka|7|24197009 24883010 25993003 26869003 26887003 27634003 28779004
Akeldama|1|26943018
Akhaikus|1|28794009
Akhaya|13|27570008 27585010 27585028 27585042 27607013 27629024 28330007 28792014 28802035 28959023 29000006 29568018 29569014
Akhim|2|23159009 23159010
