(1-15)|1|30673015
(10:14)|1|26497001
(10:2)|2|23421001 23422001
(10:3)|1|28572001
(10:5)|1|30140001
(11:1)|1|26526001
(11:17)|1|30191001
(12-18)|1|30910001
(12:3)|1|29027001
(12:35)|1|25496001
(12:7)|1|23498001
(13-12b)|1|29057001
(13-13)|1|29058001
(13:1)|1|29046001
(13:20)|1|30263001
(13:24)|1|24743001
(13:6)|2|27370001 27371001
(14:3)|1|23602001
(15:16)|1|27460001
(15:25)|1|28330001
(15:5)|1|23640001
(15:53)|1|28773001
(18:14)|1|31009001
(1:1)|7|28366001 29060001 29468001 29652001 29699001 29812001 30377001
(1:10)|1|30386001
(1:13)|2|28815001 28816001
(1:2)|2|26927001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|27935001
(1:54)|1|24949001
(1:7)|1|30275001
(1:73)|2|24968001 24969001
(1:78)|1|24973001
(20:12)|2|31052001 31053001
(21:34)|1|25862001
(22:1)|1|25867001
(23:12)|1|27748001
(23:50)|1|25987001
(27:9)|1|24140001
(2:11)|1|29583001
(2:14)|1|29245001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:30)|1|26981001
(2:6)|1|29916001
(3:18)|1|29271001
(3:23)|1|26145001
(3:29)|1|26151001
(3:8)|1|30005001
(4:1)|1|29134001
(4:11)|1|26169001
(4:34)|1|27058001
(4:36)|1|27060001
(4:7)|1|26165001
(5:10)|2|28466001 28467001
(5:3)|1|28459001
(5:5)|1|27066001
(5:7)|1|30633001
(6:14)|2|25162001 25163001
(6:17)|1|24426001
(6:2)|2|23286001 29341001
(7:13)|1|30079001
(7:14)|1|27132001
(7:25)|1|24490001
(8:22)|1|27200001
(8:27)|3|25274001 25275001 27205001
(9:11)|2|28168001 30118001
(9:13)|1|26455001
(9:20)|1|30862001
12:19|1|28265025
12:7|1|29025043
13:1|1|24747033
15:27|1|28746013
15:45|1|28764014
16|1|30763009
19:24|1|26850038
22:17|1|26850039
2:16|1|28411016
2:7|1|28764016
32:35|1|28265026
3:14|2|26406031 26440021
40:13|1|28411017
8:6|1|28746014
ANU|1|30981012
Abadon|1|30852024
Abia|4|23152010 23152012 24899028 24902007
Abihud|2|23158005 23158007
Abilene|1|25027042
Abraham|139|23146014 23147002 23162005 23202007 23202032 23357029 23905005 23905017 24700028 24700045 24948012 24948020 24967006 24967015 25034014 25034040 25060012 25060013 25535009 25547005 25643019 25644011 25645005 25646004 25650003 25652004 25741016 25817027 26415008 26419006 26421009 26421018 26421026 26422022 26434017 26435007 26438004 26439018 26440008 27010007 27022026 27119012 27120005 27121005 27122011 27122028 27122039 27123009 27125008 27125016 27125023 27125028 27133014 27134011 27149010 27389009 28024004 28025004 28026008 28032031 28033003 28034019 28034037 28034062 28035003 28035020 28036007 28036019 28039033 28039050 28039055 28040009 28040022 28041006 28042003 28045003 28046018 28161004 28163007 28163023 28164010 28165008 28211015 29012014 29012020 29109004 29109011 29110012 29110020 29111025 29112002 29112027 29117024 29119012 29119030 29119043 29120008 29121032 29122018 29122037 29122044 29123016 29132012 29132024 29154004 29154022 29155025 29994009 30058007 30060002 30066017 30066031 30067004 30069008 30070045 30071024 30071037 30072020 30073039 30074028 30075008 30075015 30181005 30181026 30182040 30183002 30184005 30184015 30184026 30185005 30190005 30190027 30190042 30192011 30315003 30316006 30317011 30431008 30431014
Abyatar|1|24286013
Ada|3|27988009 30446011 30446027
Adam|24|25064012 25064013 28060014 28060020 28062009 28062026 28062036 28063006 28063026 28063031 28064011 28064013 28066006 28067002 28741007 28741013 28764010 28764019 28766019 28767009 28768006 29730009 29731004 30687008
Adi|2|25054008 25054009
Admin|2|25059008 25059009
Adramitium|1|27858010
Adria|1|27883012
Aga|79|23220027 23292009 23301008 23338013 23392016 23702019 23780012 24402015 24416020 24515012 24541020 24568004 24629016 25069011 25072016 25090013 25091020 25297018 25315014 25435034 25465025 25934001 26105023 26134013 26326010 26350004 26378001 26395003 26408010 26641015 26642015 26704023 26841030 26931004 27035005 27178033 27464001 27471024 27583035 27596001 27620016 27650001 27659027 27823001 27853027 28163025 28164015 28201016 28270010 28275012 28322008 28438024 28449014 28746022 29025031 29026025 29036008 29092001 29105001 29123025 29169017 29176012 29278001 29279001 29458028 29804008 29805001 30135018 30350012 30506027 30630009 30698001 30743001 30780012 30800032 30845013 31004036 31013040 31062001
Agabus|3|27336005 27675013 27676002
Agama|35|23257021 23473015 23495010 24114013 24810013 24828018 24870013 24997009 24998015 25390009 25650007 25931008 25986032 26036035 26090021 26571010 26615010 27081045 27082021 27114031 27171011 27378008 27710009 27735024 27736008 27741011 27750023 27755014 27784040 27790027 27923042 28013028 28550004 29113035 29153025
Agamana|1|30293015
Agamara|1|27763009
Agina|22|23303001 23613019 23728010 24444001 25335017 25384011 25526021 25654001 26285012 26574014 26807007 26826011 26847014 26850010 27689001 27731015 27868019 28294004 28302001 28524026 28707017 30434021
Aginamo|11|25465007 25793008 25964013 26332007 26462021 27688001 28267016 29029036 29175001 30475005 30762012
Aginapa|28|23264013 23265014 23446020 23534003 23736018 23736033 23737013 23737023 24018017 24079018 24582011 24584012 24586012 24776019 25430030 26464008 26574007 26800008 28000006 28475022 28529028 29193001 29309018 29727001 30251037 30353001 30442001 30522001
Agripa|15|27339006 27810007 27811015 27819005 27820004 27821008 27823025 27825002 27826002 27843002 27850003 27851008 27852003 27854004 27856003
Agustus|1|24975006
Ah|2|26091005 26963011
Ahas|2|23154010 23154012
Ai|2|26678004 27201004
Ainon|2|26144015 26150015
Aka|8|24197009 24876004 24883002 25993002 26869003 26887003 27634002 28779004
Akeldama|1|26943015
Akhaikus|1|28794011
Akhaya|12|27570008 27585009 27585026 27585038 27607012 27629023 28329017 28792015 28802014 29000006 29568015 29569013
Akhim|2|23159010 23159012
Akwila|8|27560009 27560016 27576033 27579018 27584016 28340008 28796018 29890007
Alamiu|1|26832029
Alamiumo|1|26817006
Alamo|8|23728016 24037007 24081027 24272002 24777027 25756008 25882019 30871021
