(1-15)|1|30673014
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910009
(13-12b)|1|29057001
(13-13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
1.260|2|30876018 30898023
12.000|1|30816004
144.000|4|30815008 30928019 30930015 30930034
2.400|1|31070021
3,1/2|1|25089010
430|1|29120020
450|1|27383004
60|1|31071010
666|1|30927025
Abadon|1|30852024
Abia|3|23151022 24899017 24902005
Abihud|1|23157018
Abilene|1|25027033
Abraham|128|23146010 23146012 23147001 23162003 23202011 23202025 23357013 23905003 24700034 24949009 24967004 25034013 25034026 25060006 25535010 25547004 25643018 25644016 25644025 25645002 25646002 25650001 25651010 25652002 25741023 25817024 26415004 26419007 26421006 26421011 26421021 26422015 26434016 26435002 26435022 26438002 26439017 26440009 27010005 27022022 27119013 27121002 27121013 27121017 27122015 27122019 27122034 27122038 27122043 27125019 27125021 27133020 27134009 27149008 27389003 28024010 28026004 28032029 28032039 28033010 28034038 28035001 28035034 28036004 28036013 28036021 28039017 28039053 28039058 28040007 28040022 28040024 28041001 28042001 28042033 28045003 28046014 28163004 28163012 28164005 28211016 29012018 29109009 29109012 29110010 29111030 29112001 29112018 29117011 29119007 29119012 29119021 29121022 29122030 29122038 29132008 29154005 29994009 30058005 30060001 30066013 30067002 30069014 30070026 30071014 30071018 30074018 30074020 30075013 30075020 30181004 30181022 30182003 30182016 30183002 30184004 30184010 30184018 30185002 30190005 30190020 30191005 30192001 30192014 30315003 30317006 30317024 30431008
Abrahamdo|1|30190015
Abyatar|1|24286013
Adam|15|25064006 28062004 28062027 28062036 28063020 28741010 28764010 28764016 28766001 28766008 28767006 28768007 29730006 29731004 30687005
Adi|1|25054004
Adik|1|25616006
Admin|1|25059004
Adramitium|1|27858008
Adria|1|27883011
Adudo|1|25916004
Adui|3|31004012 31010003 31013016
Agabus|2|27336007 27675015
Agama|22|23257026 24114006 24810006 24828005 24869014 25931020 25986034 26571012 27028004 27093004 27095007 27101005 27114025 27117008 27171004 27710007 27735025 27750007 27755016 27763018 27790019 29113027
Agripa|13|27810008 27811015 27819002 27820002 27821005 27823034 27825001 27826004 27843004 27850002 27851004 27852002 27856002
Agung|23|24058015 24112010 26810012 27029005 27737007 27771006 29995019 29997023 30029015 30030002 30036012 30041008 30042006 30065017 30091005 30093028 30094010 30095006 30096015 30117007 30117024 30262016 30470004
Agungkodo|2|26761016 26765002
Agustus|1|24975004
Ah|2|26370012 26963009
Ahas|1|23151028
Ainon|1|26144010
Ajaib|1|25134014
Ajaran|4|26693009 29708001 29830001 29895001
Ajaran-ajaran|1|29845001
Ajardo|1|29873030
Ajarko|2|24216001 29759001
Ajarkodo|1|29924001
Ajo|2|24986001 25627013
Ajodo|1|24034012
Akeldama|1|26943020
Akhaikus|1|28794008
Akhaya|12|27570005 27585005 27585021 27585032 27607012 28330006 28792014 28802012 28959027 29000013 29568013 29569014
Akher|2|31060018 31094013
Akherni|37|23221001 23345001 23685001 23864001 23900001 24115014 24154001 24283025 24429001 24652001 24696007 24888001 24919002 25066015 25432025 25587001 25606001 25793001 25812001 26372001 26391017 27077001 27135001 27445009 27450006 27621001 27854001 27876014 27928001 29005019 29055001 29348001 29423001 29451001 29592001 29605001 29680001
Akhim|1|23157022
Akibatni|3|28060015 29375001 29674001
Akuk|6|24081028 24777031 25611011 25756012 25882017 30324001
Akukdo|8|23728014 23728035 23990001 24746001 26817005 26832019 29355001 30871019
Akwila|8|27560010 27560015 27576025 27577009 27584012 28340006 28796009 29890005
