(1-15)|1|30673009
(10:2)|2|23421001 23422001
(11:17)|1|30191001
(11:23)|1|27332001
(12-18)|1|30910001
(12:3)|1|29027001
(12:35)|1|25496001
(13-1)|1|30910009
(13:13)|1|29058001
(13:35)|1|24754001
(15:25)|1|28330001
(18:19)|2|27578001 27579001
(19:13)|1|27600001
(1:1)|2|29699001 29812001
(1:10)|1|30278001
(1:13)|1|28815001
(1:15)|1|29074001
(1:21)|1|26946001
(1:3)|1|27935001
(1:32)|1|26078001
(1:4)|1|29212001
(1:7)|1|30275001
(1:9)|1|29217001
(20:12)|1|31052001
(20:14)|1|31054001
(21:12)|1|31067001
(23:12)|1|27748001
(23:50)|1|25987001
(26:12)|1|27837001
(2:14)|1|30733001
(2:2)|2|30297001 30298001
(2:25)|1|24287001
(2:26)|1|30745001
(2:28)|1|27992001
(2:36)|1|25011001
(2:8)|1|29239001
(2:9)|1|23180001
(3:1)|1|29593001
(3:14)|1|29747001
(3:16)|3|24306001 24307001 24308001
(3:19)|1|30445001
(3:23)|1|26145001
(3:7)|1|27005001
(3:9)|1|27007001
(4:34)|1|27058001
(4:36)|1|27060001
(4:7)|1|26165001
(5:1)|1|29766001
(5:12)|1|28468001
(5:3)|1|28459001
(5:7)|1|24373001
(6:17)|3|24426001 24427001 24428001
(6:49)|1|24458001
(6:53)|1|24462001
(6:8)|1|24417001
(7:20)|2|24485001 24486001
(7:25)|1|24490001
(7:28)|1|23346001
(7:57)|1|27175001
(7:8)|1|24473001
(8:1)|2|27179001 27180001
(8:38)|1|28156001
(9-43a)|1|25345001
(9-43b)|1|25345011
(9:11)|1|28168001
(9:13)|1|26455001
(9:2)|1|28159001
Abadon|1|30852009
Abia|4|23152008 23152010 24899017 24902010
Abihud|2|23158004 23158006
Abilene|1|25027036
Abraham|111|23146008 23147002 23162004 23202015 23202026 23357019 23905003 24700031 24949010 24967006 25034014 25034023 25060009 25060010 25535004 25547003 25643013 25644013 25645007 25646003 25650003 25651006 25652002 25741017 25817023 26415010 26419004 26421006 26421016 26434014 26435007 26435011 26438003 26439011 26440010 27010004 27022026 27119021 27121003 27122040 27123006 27125010 27125017 27133015 27134009 27149008 27389004 28024009 28025004 28026011 28032022 28033004 28033016 28034045 28035015 28036005 28036021 28039027 28039041 28039043 28040016 28041011 28041018 28042005 28045007 28046010 28161005 28163006 28163017 28164005 28165006 28211020 29012022 29012025 29109007 29109012 29110012 29111025 29112008 29117013 29119008 29119018 29121024 29122030 29132008 29154009 29994008 30059004 30060003 30062006 30066018 30067002 30069012 30070028 30071015 30071018 30073025 30074018 30075014 30181002 30182036 30184003 30184015 30184023 30185006 30190004 30192003 30192020 30315003 30317015 30431007
Abraham-e|5|26422016 28035002 29123018 30058007 30069021
Abrahammo|1|30071021
Abyatar|1|24286010
Ada'na|132|23215013 23495017 23496013 23725017 23725029 23728033 23839004 23839016 23841012 23850010 23935019 23935029 23936015 23940005 23954026 23959009 23959017 24110022 24116009 24135006 24136018 24170007 24181007 24286029 24652010 24656011 24657009 24668015 24709007 24715012 24719007 24721012 24732011 24804005 24813008 24856019 24865007 24903016 24915017 24916025 24917007 25001008 25001018 25010036 25020007 25073011 25457017 25699008 25777007 25779009 25781009 25828005 25832010 25864007 25865008 25869010 25917013 25918006 25981010 26045005 26110009 26111021 26115008 26116014 26117009 26225014 26343007 26357007 26361023 26366016 26374006 26384005 26402011 26441026 26504011 26505010 26572013 26580013 26789011 26798014 26806019 26832012 26996006 26998013 26999006 26999034 27000009 27004025 27006006 27008014 27024022 27072020 27080004 27081009 27084007 27085016 27086007 27102006 27115018 27116012 27691018 27692020 27693026 27693037 27694021 27695017 27695025 27722009 27776007 27782015 27788007 27789014 27805018 27845008 28554007 28554014 28915006 29666031 30154018 30759009 30826016 30874013 30875006 30892010 30942008 30944009 30952009 30953006 30955006 30956014 30972020 31076005
Ada'namo|1|23936020
Adam|17|25064009 25064010 28060010 28062010 28062030 28062036 28063013 28741008 28764011 28764019 28766001 28766010 28767006 28768006 29730007 29731003 30687016
Adi|2|25054006 25054007
Admin|2|25059006 25059007
Adramitium|1|27858006
Adria|1|27883013
Agabus|2|27336004 27675008
Agripa|13|27810005 27819003 27820003 27821006 27823020 27825003 27826003 27831017 27836003 27843003 27851003 27852003 27856003
Agustus|1|24975006
Ahas|2|23154008 23154010
Ainon|1|26144011
Aka|94|23467013 23825009 23961027 24070005 24270001 24369001 24374003 24432007 24464027 24585001 24587001 24592004 24595001 24604001 24625003 24640005 24664001 24841004 25194001 25220016 25221001 25255004 25276006 25390005 25390010 25659013 25730001 25834013 25958004 26009005 26218016 26288010 26308012 26475006 26745005 26815009 26824004 27090001 27281014 27390001 27754016 29567015 29569001 29570001 29592001 29594008 29618001 29620001 29624001 29627001 29631001 29656001 29665011 29856001 29860001 29874001 29900001 29903001 29908021 29935001 30274001 30277009 30284001 30287001 30289013 30305001 30307001 30322001 30331001 30337001 30341013 30349008 30352015 30360006 30364010 30366027 30435001 30544001 30566006 30567001 30570014 30578023 30590013 30592016 30605028 30624018 30628001 30634001 30657001 30749012 30934011 30961001 30984045 31017020
Akamo|30|23314009 23314012 23476001 23790009 24063011 24105005 24354006 24683007 25036005 25227007 25236014 25477005 25537004 25624007 25793005 25795012 26286005 26365001 26415015 26608004 26962006 26987019 27542017 27731012 28148001 28623020 28748017 28751001 29036001 30248015
