(1-15)|1|30673011
(10:14)|1|26497001
(11:35)|1|26560001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910013
(13-12b)|1|29057001
(13-13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(5:7)|1|30633001
(7:24)|1|28117001
(7:7)|1|30819001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
12.000|1|30816005
1260|2|30876016 30898022
144.000|4|30815006 30928019 30930010 30930038
2400|1|31070017
430|1|29120020
666|1|30927026
AKU|3|26406025 26410023 26650018
Abadon|1|30852017
Abak|1|24360032
Aban|4|26696001 26887037 26889008 26894043
Abara|2|27542001 28928015
Abbit|4|24558029 25575029 26112008 26909006
Abbitnangan|2|24436001 26865022
Abbitrangan|6|23234015 23834001 25839012 27069024 27076013 27504001
Abel|6|23954016 25457005 30177006 30177026 30177043 30237032
Abelangan|2|25531008 28087001
Abeu|2|24909001 29234007
Abeuaké|1|28274029
Abeuakénangan|1|26964016
Abeuan|1|26464007
Abia|3|23151023 24899024 24902013
Abiatar|1|24286024
Abihud|1|23157022
Abilene|1|25027040
Abraham|129|23146012 23146015 23147002 23162004 23202017 23202028 23357028 23905004 24700031 24949012 24967007 25034013 25034025 25060006 25535006 25547007 25643018 25644019 25644031 25645007 25645010 25646006 25650006 25651011 25652006 25741024 25817028 26415006 26419008 26421008 26421021 26421034 26422025 26434021 26435008 26435034 26438006 26439021 26440020 27010013 27022023 27119027 27121006 27121018 27121023 27122015 27122035 27122047 27123008 27125025 27125029 27133015 27134010 27149009 27389005 28024016 28026012 28032035 28033008 28034031 28035003 28035020 28035044 28036003 28036012 28039022 28039069 28039078 28040005 28040021 28040025 28041008 28042008 28042034 28044005 28046010 28163005 28163016 28164004 28211020 29012033 29109012 29109018 29110015 29111034 29112006 29112026 29117020 29119010 29119023 29121023 29121030 29122036 29122045 29132009 29154009 29994008 30058007 30060005 30060015 30066023 30067006 30069023 30070036 30071021 30071027 30071034 30074024 30074032 30075016 30075026 30181008 30181027 30182005 30182017 30183007 30184005 30184016 30184031 30190010 30190020 30190033 30191005 30192004 30192025 30315009 30317011 30317030 30431012
Adam|15|25064006 28062007 28062030 28062042 28063020 28741011 28764011 28764016 28766004 28766014 28767008 28768008 29730006 29731006 30687007
Addeaké|1|29765017
Addeakéan|1|25608006
Addenungan|1|30874023
Adi|1|25054004
Admin|1|25059004
Adramitium|1|27858008
Adria|1|27883009
Agabus|2|27336010 27675014
Agai|1|30104014
Agaimuian|1|26414001
Againa|1|27217001
Agrippa|13|27810008 27811018 27819007 27820007 27821008 27823035 27825007 27826004 27843005 27850010 27851005 27852007 27856004
Agustus|1|24975008
Ah|1|25505009
Ai|400|23165001 23168019 23183023 23228001 23228023 23235010 23266001 23273001 23291007 23389006 23390001 23398001 23536001 23543011 23544001 23564022 23570014 23571025 23573001 23585012 23656033 23668007 23668015 23671016 23674001 23682019 23683012 23686011 23687006 23701004 23716010 23728017 23751013 23754015 23757020 23775001 23794011 23797011 23830015 23850013 23855016 23860015 23875013 23908001 23949001 23953024 23961009 23981011 23981017 23984009 23984026 23999001 24010016 24019011 24023014 24045012 24061001 24062008 24062016 24066001 24076001 24168001 24177011 24201010 24207001 24232017 24235018 24253007 24264001 24275001 24296023 24304001 24311014 24327003 24328001 24329001 24331001 24332019 24355011 24378041 24428024 24446008 24446024 24452001 24506009 24506017 24509008 24512001 24520010 24520020 24521025 24528013 24529007 24540010 24608001 24610010 24621001 24624017 24644014 24654001 24668007 24673014 24675024 24715001 24739011 24739018 24756001 24758001 24758020 24758034 24762001 24777001 24806001 24821001 24862001 24877001 24880010 24929007 24960015 24998001 24999017 24999028 25020014 25068010 25152006 25201007 25229022 25232001 25236007 25240021 25251001 25251008 25252001 25266016 25288018 25295001 25321006 25344001 25345011 25347009 25394006 25403001 25461015 25472001 25473001 25476010 25525010 25527019 25533020 25600008 25622007 25627004 25640001 25673008 25675001 25675007 25687001 25688001 25699003 25702018 25709001 25711011 25713001 25723010 25744005 25763016 25766003 25789008 25851001 25886003 25986019 25996001 26005015 26006001 26028001 26041001 26055001 26102015 26122001 26147013 26163001 26189009 26192005 26213017 26253001 26253006 26267001 26300011 26340001 26341010 26349006 26354001 26370001 26373001 26432006 26437027 26445001 26452004 26500018 26502004 26502010 26525001 26568007 26582001 26594014 26610022 26632001 26633001 26634001 26644001 26649009 26652017 26660001 26667032 26695001 26726001 26772001 26791005 26793015 26836013 26844009 26880008 26902010 26916038 26917008 26936014 26963009 27005024 27062016 27200001 27204037 27228026 27233001 27266001 27279001 27283018 27287001 27292013 27313001 27322001 27327020 27329001 27342011 27365001 27383001 27424001 27466001 27500018 27512010 27542040 27568001 27572001 27587001 27593001 27599001 27610001 27618010 27621019 27624020 27645009 27647001 27659018 27674001 27688005 27696001 27699001 27728001 27748001 27780020 27781001 27795035 27802001 27803001 27807011 27811021 27828001 27828013 27841001 27893001 27925001 27940007 27963001 27983008 27987001 28026001 28054001 28151009 28153009 28178008 28202001 28204015 28215005 28235023 28265011 28283001 28286001 28307011 28314001 28324001 28398001 28423001 28427001 28431008 28451027 28469001 28479001 28480001 28481001 28482001 28483001 28488001 28495022 28503022 28535011 28569017 28584001 28639001 28641001 28645035 28780011 28842037 28965001 29022001 29025001 29044001 29051001 29053013 29065008 29071014 29078006 29086036 29359001 29370001 29487008 29493029 29552001 29576001 29576015 29596016 29668011 29689001 29799012 29810001 29847008 29848013 29848034 29885012 29905001 30079001 30094007 30209001 30239015 30252001 30312005 30331004 30423011 30497001 30565042 30632001 30673028 30711014 30720001 30727001 30737001 30748021 30755001 30755005 30762001 30767003 30772020 30788022 30791012 30796010 30799032 30813011 30820024 30823022 30831001 30842017 30851001 30852001 30863011 30872012 30879001 30879016 30893023 30894001 30895007 30910024 30928017 30933012 30941008 30941019 30948013 30949028 30953018 30995012 30996021 31033001 31040012
Aiaalá|1|30788001
Aiagaian|1|26642001
Aiailingan|10|24503009 24796021 25835025 26604006 26612001 26761016 27889012 30464001 30811001 31025010
Aiaké|5|26062001 26351001 29259001 29711009 29888009
Aiakéan|10|23487006 24214010 24474001 24963001 24964001 27389016 29108001 29188001 29553025 30636005
Aialá|1|24425041
Aian|28|23832006 24380015 24390015 24396008 24407010 24443008 24524028 24680011 25281034 25335001 25624013 25650007 25903007 26046017 26478006 26596008 26794005 27256025 27284008 27296001 27450018 28193001 28214010 28452001 28579019 29703001 29860001 30029011
Aiappeán|1|23382040
Aiarep|1|25309015
Aiarep'an|1|27264017
Aibagai|2|24495018 27640017
Aibailiu|1|28035015
Aibailiuakéan|2|28320001 29971008
Aibailiuan|5|26059001 28442012 28444001 28479019 29528009
Aibara|7|23167001 23555012 24886019 26862001 27927010 28060001 29675027
Aibaraaké|2|29030025 30528018
Aibaraakéan|1|24595011
Aibeléaké|1|30507009
Aibukáan|1|30154001
Aibuluaké|1|29422011
Aibuluakéan|2|29923001 30596012
Aigalai|2|26107010 29116010
Aigalaiaké|21|23224001 23363001 23601019 26234001 27341030 27487017 27551001 28017020 28121001 29117001 29215001 29237001 29285001 29331001 29486024 29819010 29992025 30095001 30285013 30443027 30483015
Aigalaiakéan|1|24763001
Aigalaian|1|26980001
Aigegejengi|1|26505001
Aiguk|1|26974011
Aiiitsó|1|27424009
Aikabaraji|1|30676006
Aikakau|5|24081020 24082019 24777018 24863031 27571004
Aikalaakéan|1|28120018
Aikalipogingan|1|27554001
Aikau|1|23758009
Aikauan|4|23388012 26238001 26972012 30993009
Aikodda|2|26853010 27213019
Aikoiniakean|1|24428001
Aikoiniaké|8|24970011 25082015 25216015 26149016 27282006 29491001 29997022 30699033
Aikokoiakéan|1|28663007
Aikoí|7|26830016 26840020 27227029 29991015 30141003 30143006 30719007
Aikoíné|9|25627014 25628023 25752013 30726008 30730008 30736008 30748008 30754008 30761008
Aikua|55|23602001 23904012 23917001 24073016 24086020 24116002 24218012 24393001 24401007 24658018 24769012 25626011 25778010 25822012 25876007 25975016 26317001 26402001 26516016 26615007 26620015 26622001 26847020 26967001 26981018 26984018 27167001 27186020 27282031 27410008 27607023 27612010 27880001 27926001 28040001 28173008 28208022 28210013 28265023 28292007 28431001 28700011 29749007 29972001 29990001 29991001 30005001 30036021 30098032 30103012 30149015 30151001 30233010 30687012 30706001
Aikuaagai|4|26182008 30720016 30731001 30737022
Aikuangan|2|30191001 30247016
Aikugagalaiaké|1|27788001
Aikugegelai|1|24626008
Aikuhohormati|1|26431013
Aikukua|1|26032001
Aikukukua|1|27323004
Aikup-kup'ake|1|29927010
Aikupaaatu|1|27776010
Ailangóan|6|23190016 24400020 24565031 25295016 26538011 27399001
Ailiddangan|1|24771008
Ailokot'aké|1|26456015
Aimatoilá|1|27935011
Aimatonem|1|26199008
Aimueenung|1|24232001
Ainangan|11|23291015 23672010 23996001 26093015 26515027 27119021 28061001 28167001 29126001 29135007 29211001
Ainon|1|26144016
Ainuaagai|1|24052001
Aiobá|1|29493001
Aioi|2|29712014 30631016
Aiom'aké|1|30215023
Aioobáaké|1|27859018
Aiorak'akéan|1|31020006
Aioreaké|1|28242001
Aioú-oúan|1|24556015
Aipaarau|3|28116044 29819001 29929017
Aipaatu|1|30199001
Aipaatungan|1|24680027
Aipabebetuji|1|23622014
Aipaerúan|2|28479024 28659011
Aipagalú|1|26454001
Aipaingongan|1|28868010
Aipakayongan|1|31013027
Aipakei|1|28839024
Aipakeian|1|30483001
Aipalináan|1|27452007
Aipaloloian|4|23383021 24120011 24268010 30163029
Aipalululu|1|29393017
Aipapangan|1|30065001
Aipapuineng'an|1|30935021
Aiparepé|1|29400001
Aipatarek'an|2|24763009 28179019
Aipatoilá|2|27451013 29255001
Aipatoiláan|4|26026012 27949001 29920001 30613001
Aipatoné|1|28036001
Aipatutubbuji|1|25938014
Aipauddet|1|26983001
Aipauddet'an|1|27932015
Aipiliy|3|29631001 29894021 30409023
Aipiliyan|5|25008013 27380001 27719005 28365008 29530015
Aipoi|15|28384020 28419001 28449021 28484023 28486007 28624001 29448008 29508024 30017020 30049001 30474008 30494001 30624021 30677044 31024025
Aipoiliat|2|26196015 30699014
Aipoiliat'an|1|30098019
