(1-15)|1|30673013
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910009
(13-12b)|1|29057001
(13-13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|3|25274001 25275001 27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
12.000|1|30816004
1260|2|30876023 30898022
144.000|4|30815010 30928019 30930020 30930040
2400|1|31070023
430|1|29120020
450|1|27383005
666|1|30927027
ADEN|3|26406040 26410027 26650025
ADO|3|26406041 26410028 26650026
Abadon|1|30852021
Abia|3|23151027 24899018 24902006
Abihilah|1|29304001
Abihud|1|23157022
Abilene|1|25027035
Abuak-Nyo|1|30712001
Abuaknyo|1|30849001
Abyatar|1|24286017
Acok|1|29016001
Adam|15|25064006 28062006 28062028 28062036 28063022 28741013 28764012 28764019 28766001 28766008 28767010 28768007 29730007 29731002 30687006
Aden|83|23185022 23470018 23575013 23575022 24021005 24086028 24218019 24240018 25098020 25223020 25455007 26609012 26609016 26621001 26847017 26967007 26969001 27022032 27124002 27149006 27151001 27151004 27151013 27151018 27151028 27160028 27397028 27404023 27410011 27459003 27459009 27568003 27601008 27733005 28040011 28165012 28171009 28171021 28173011 28173026 28208027 28208039 28209023 28214009 28237001 28700022 28700033 28901009 28901016 28901018 28915024 28915031 28915036 28916024 28917001 29032004 29969018 29969036 30007001 30018027 30036032 30059003 30101015 30102014 30102034 30103019 30103035 30105001 30150017 30151004 30164007 30164010 30172021 30239014 30247024 30391010 30406008 30876001 30970002 31001028 31001033 31059012 31061010
Adenlah|12|23905001 24700040 27149001 27280013 28265019 28265023 28292022 30706001 30706004 31060007 31060010 31060013
Adi|1|25054004
Adiak|1|25616004
Adiaknyo|1|23899001
Admin|1|25059004
Ado|139|23196014 23235011 23266001 23365001 23391001 23491001 23500010 23543017 23545001 23547001 23573001 23656001 23674001 23687004 23687010 23751014 23775017 23775033 23794013 23823001 23860014 23875014 23953030 24023017 24069001 24122013 24126008 24219001 24256001 24279001 24284001 24310001 24329001 24331001 24422020 24423012 24448010 24489001 24512001 24529004 24602001 24610013 24694001 24806001 24812001 24820001 25010001 25030013 25040001 25148001 25153001 25232001 25237003 25251001 25252001 25253001 25310001 25321005 25321015 25340001 25363001 25394004 25422001 25510001 25525011 25529001 25533024 25555001 25574001 25649001 25704001 25711008 25725015 25832001 25851001 25921001 25968001 26014001 26122001 26266001 26341009 26341016 26373001 26432010 26450001 26498001 26525001 26660001 26812001 26855013 26944026 27061001 27327021 27502001 27528001 27556021 27599001 27600001 27618012 27636001 27748001 27877001 27924001 28107011 28166001 28215004 28283001 28286001 28314001 28423001 28431001 28452001 28456015 28480001 28481001 28535011 28639001 28640001 28641001 28645039 28687001 28763026 29584001 29703001 29716014 29799013 29848010 29848029 29860001 30088001 30208013 30209001 30312005 30632001 30732017 30772012 30775001 30895011 30948013
Adokoh|2|24345006 26377001
Adolah|12|23855015 24327002 24675020 25476010 25600006 25622006 25640001 25699004 25744004 25789011 25986001 29538003
Adramitium|1|27858008
Adria|1|27883012
Aduah|3|31004017 31010006 31013022
Agabus|2|27336006 27675013
Agak|1|28685021
Agamo|25|23257031 24114007 24810008 24828006 24869013 24997006 25013012 25931021 25986041 26571014 27028005 27093004 27095007 27101006 27114032 27117008 27171004 27710008 27735030 27735050 27750008 27755024 27763023 27790027 29113031
Agiah|4|23961022 24408019 25932001 27355026
Agiahkan|1|27196005
Agiahkanlah|3|23784022 25185001 31001001
Agiahlah|2|24017011 25409001
Agripa|13|27810006 27811017 27819004 27820004 27821007 27823037 27825004 27826003 27843006 27850003 27851005 27852004 27856005
Agustus|1|24975004
Ah|1|26370013
Ahas|1|23151033
Ainon|1|26144013
Ajakanlah|2|29759001 29924001
Ajalah|2|24216001 29873036
Akaik|5|24197010 24883011 25993003 26869003 26887003
Akau|1|27353001
Akeldama|1|26943021
Akhaikus|1|28794014
Akhaya|12|27570006 27585008 27585018 27585042 27607017 28330010 28792020 28802015 28959029 29000014 29568019 29569018
Akhim|1|23157026
Akibaiknyo|2|28060014 29674001
Akienyo|48|23208028 23221001 23345001 23535036 23685001 23745017 23854001 23864001 23900001 24115019 24154001 24283027 24429001 24631001 24652001 24680024 24696008 24888001 25066023 25587001 25606001 25787001 25793001 25812001 25959014 26197021 26372001 26391023 26572016 27077001 27135001 27445011 27450006 27621001 27854001 27876016 27928001 29005021 29055001 29348001 29423001 29451001 29587037 29592001 29605001 29680001 31060020 31094018
Akwila|12|27560012 27560019 27560056 27561011 27576029 27577010 27584017 27584025 27584033 28340011 28796010 29890008
Alah|12|23956014 24525011 24641001 24796022 24796025 25835024 25903011 25916005 26507003 26768001 27588006 30739001
Alaik|1|28686001
Alam|3|30802022 31052013 31053004
Alamaik|1|23675020
Alek|2|23881010 25615012
Aleksander|5|24848040 27029013 27619022 29717008 29885002
Aleksanderlah|1|27619007
Aleksandria|4|27111032 27582012 27862011 27911016
Alemu|1|27848017
Alfeus|5|23421022 24275018 24307014 25162010 26937043
Alkitab|166|23175022 23214005 23216020 23217006 23220012 23393005 23470009 23493008 23497002 23744022 23767013 23840009 23843035 23869016 23902015 24079011 24086022 24109014 24111015 24286009 24551027 24552030 24658014 24684012 24698015 24700006 24776010 24782017 24804029 24855012 25068005 25072005 25074004 25076005 25080027 25085010 25150009 25223011 25390007 25778008 25797014 25849023 25902006 25902030 26019015 26024028 26037015 26038006 26113008 26118041 26250004 26250021 26257026 26289013 26367011 26371002 26381013 26517010 26595017 26597037 26649025 26772051 26850035 26854022 26862013 26863003 26877016 26940007 27034008 27392014 27526033 27527003 27535031 27582024 27586024 27740017 27933019 27948036 27987002 27996018 28002009 28026002 28041030 28153002 28169002 28173004 28189007 28195016 28200002 28202002 28204015 28207022 28212021 28218004 28236011 28244002 28265016 28292002 28307019 28308005 28308019 28313026 28325002 28383004 28395007 28404007 28411002 28430015 28467032 28484026 28549018 28575016 28594004 28700002 28722037 28723017 28746002 28764002 28773038 28873002 28901002 28948002 28966002 28989002 29045012 29109007 29111001 29113017 29114022 29115010 29116027 29119014 29125003 29159004 29162006 29281002 29336002 29761011 29782004 29869013 29869014 29870005 29871002 29984006 30009038 30011005 30019011 30073018 30082004 30141021 30171004 30178035 30302015 30317005 30343003 30344020 30391002 30399002 30403002 30406004 30407019 30435002 30465002 30471027 30539054 30677056
