(1-15)|1|30673011
(10:14)|1|26497001
(12-18)|1|30910001
(12-36a)|1|26617001
(12-36b)|1|26617020
(12:3)|1|29027001
(13-1)|1|30910008
(13-12b)|1|29057001
(13-13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16-4a)|1|26731001
(16-4b)|1|26731023
(16:3)|1|24878001
(18-38a)|1|26824001
(18-38b)|1|26824011
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:10)|1|28812001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|3|23148001 23149001 23150001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(6-2a)|1|29791001
(6-2b)|1|29791038
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
1260|1|30898022
144.000|2|30928017 30930032
300|1|30947022
430|1|29120020
666|1|30927030
AKU'OI|2|26410027 26650027
Abadon|1|30852023
Abaraham|2|29119027 29119043
Abia|4|23151042 23151046 24899026 24902008
Abihud|2|23157046 23157050
Abilene|1|25027044
Abinadab|2|23147051 23147055
Abraham|110|23146013 23147004 23162005 23202019 23202038 23357018 23905006 24700040 24949013 24967006 25034031 25034053 25060012 25535029 25547008 25643022 25644019 25645007 25646003 25650003 25651010 25652003 25741026 25817039 26415008 26419007 26421008 26421016 26421028 26422020 26434024 26435003 26435026 26438005 26439023 26440010 27010006 27022033 27119018 27122028 27122033 27122040 27125017 27133017 27134012 27149012 27389006 28024009 28026010 28032026 28034043 28035002 28035033 28036006 28036016 28036025 28039023 28039058 28039065 28040007 28040027 28040030 28041002 28042004 28042043 28046015 28163006 28163019 28164006 28211020 29012028 29012034 29109006 29110019 29111030 29112008 29117014 29119009 29121031 29132015 29154007 29994013 30058008 30060004 30066018 30067006 30069019 30070031 30071006 30071019 30071026 30074029 30074033 30075019 30075028 30181005 30181025 30182018 30183002 30184005 30184025 30185005 30190006 30191008 30192002 30192022 30315004 30317012 30317039 30431010
Abrahambii|1|30190023
Abyatar|1|24286020
Adam|14|25064013 28062014 28062031 28062041 28063020 28741011 28764013 28764021 28766002 28766012 28767009 28768010 29731004 30687008
Adambii|1|29730003
Adi|64|23179033 23181012 23183024 23184010 23190003 23190020 23191007 23213012 23216008 23366015 23375012 23386006 23407018 23441029 23479003 23487014 23487030 23487036 23498010 23513014 23522008 23530019 23577012 23581001 23595009 23656021 23686022 23689011 23700003 23701020 23710031 23713030 23723016 23739002 23791012 23811010 23811031 23821003 23823027 23824019 23836017 23842034 23856001 23915013 23915022 23985026 23988006 23988022 23994015 23995019 23997027 24002007 24040003 24057015 24079001 24079018 24100020 24118026 24119021 24170023 24173030 24215018 25728015 25854008
Adii|189|24217010 24271008 24289012 24300022 24372005 24404014 24406016 24407001 24411006 24433001 24532014 24539024 24548025 24551021 24570011 24622014 24634003 24636018 24637020 24730020 24744007 24750019 24776004 24776024 24796024 24816026 24817014 24926008 24929022 24929030 24930014 24981009 24995006 25007016 25008013 25008015 25009012 25012032 25014001 25054011 25067013 25073019 25105016 25118011 25132010 25152005 25169021 25230004 25274021 25288013 25324008 25328023 25346009 25360017 25386014 25386029 25386036 25436019 25468021 25469020 25470010 25500009 25674021 25676023 25678005 25682008 25697007 25720027 25727009 25742003 25863016 25887001 25913017 25934010 25935013 25935028 25999004 26059020 26063010 26074018 26079017 26081011 26094010 26096020 26134021 26135022 26157005 26157019 26230011 26230046 26231007 26232023 26234010 26234021 26234031 26236017 26237011 26238011 26285032 26298013 26311017 26320010 26410013 26418004 26476026 26518017 26528030 26551010 26604007 26615027 26615037 26662010 26682019 26833019 26899022 27125015 27173011 27934007 28146020 28146023 28747018 28820006 29102029 29155001 29286014 29481018 29484023 29538001 29571013 29968002 29970026 30002007 30029039 30039004 30051029 30068027 30163010 30573035 30574006 30575039 30587036 30588030 30589005 30618006 30619010 30630019 30635006 30637005 30637018 30638010 30643021 30645006 30736015 30786010 30786030 30787004 30788004 30792007 30793038 30795005 30797004 30799003 30801005 30803005 30806006 30810023 30820045 30821023 30825040 30828003 30829002 30903003 30917027 30928006 30931021 30931050 30937043 30950014 30990007 30990013 31025017 31027020 31063036 31068028 31076024 31077022 31081044 31082029 31084019
Adií-Ku|16|24227011 24266015 24399008 24546019 24613019 25048022 25294007 25337014 26664001 26904006 27396026 29969014 29969041 30036029 30218019 30497031
Adií-Mu|2|26761020 26761023
Adií-Nya|40|26137017 26138006 26139020 26156005 26233015 26238006 27655054 27940038 28058018 28120035 28146015 28149002 28373010 29074006 29074012 29136011 29136017 29138013 29213017 29479015 29480002 29485017 29486029 29488007 29966018 29970008 29972006 30093033 30544029 30546010 30548035 30603010 30613014 30614021 30634025 30635043 30636018 30645040 30649020 30655055
Adií-Nyadon|1|29966007
Adiíbii|4|24491006 24866024 27214026 27935010
Adiíku|4|30552001 30587001 30598001 30646001
Adí-Ku|3|23185028 23210010 23706027
Adíbi|2|23631017 24184032
Admin|1|25059008
Ado|1|31004013
Adodoi|2|31010003 31013014
Adramitium|1|27858007
Agabus|2|27336008 27675010
Agama|13|24114008 24869018 26571016 26725014 27114030 27174006 27735032 27736010 27741022 27750007 27755028 27763021 27790027
Agripa|16|27810007 27811014 27819003 27820005 27821011 27823034 27825002 27826004 27831031 27837013 27843004 27849010 27850003 27851004 27852003 27856005
Agustus|1|24975006
Ah|2|26370012 26963013
Ahas|2|23151078 23151082
Aher|1|29648001
Aid|6|27978001 28090022 29662001 30186024 30502068 30503025
Aid-Nya|1|28018019
Aidai|6|25204043 25884030 28625019 28944010 29343017 29356001
Aidaibii|3|28263012 29406001 30432037
Aidaidon|5|23489001 25392009 26101013 26658018 29452001
Aidannyabii|1|25204046
Aim|10|25076004 25228014 25709001 26794004 27092001 29254001 29255001 29851015 30065001 30409022
Ain|11|26856010 27829001 27863001 28189013 28204013 29014001 29031001 29471019 30935011 30972027 30996004
Aindon|22|23278001 23288033 23717001 23840007 24145001 24796021 25072005 25526011 25553017 25618007 25693001 26468004 26609013 27088002 27397001 27410008 27467001 27775001 27877001 27889021 28001020 29799011
Ainon|1|26144016
Aka|466|23213008 23216005 23248006 23255005 23260001 23272001 23280001 23297001 23299001 23305006 23355013 23377009 23431001 23441001 23443014 23501007 23517001 23521005 23523001 23533001 23561014 23564011 23571010 23573012 23584001 23595001 23626005 23640014 23675005 23705015 23711005 23721014 23726018 23727010 23731006 23736001 23740008 23743001 23743018 23745001 23747008 23766013 23770006 23773005 23780018 23784005 23788012 23789008 23819001 23852024 23852035 23854017 23855001 23875001 23890016 23915001 23916004 23935010 23937003 23949004 23984001 23990014 23999001 24001007 24023001 24040001 24109001 24121001 24152006 24172015 24256015 24293011 24317002 24337008 24350007 24354005 24355001 24418005 24463022 24475006 24504001 24528024 24557001 24561018 24562007 24582001 24586001 24615017 24616008 24665007 24667001 24672015 24672024 24674013 24688048 24693014 24697001 24725001 24729020 24738001 24746008 24762013 24839010 24859001 24892001 25036009 25037004 25067008 25073016 25146001 25156011 25177001 25179001 25182031 25204014 25235018 25238019 25259001 25306001 25316001 25320020 25322007 25341001 25372001 25408005 25411010 25423014 25425001 25427001 25430001 25440006 25442001 25447020 25448029 25470001 25471001 25496015 25499005 25512017 25514009 25518001 25524007 25544001 25557018 25562001 25564005 25564042 25566009 25568001 25580001 25582001 25585003 25586001 25593001 25623018 25634031 25648006 25652009 25655003 25655012 25656001 25658004 25659001 25662004 25672021 25688001 25691004 25714001 25715015 25731005 25755001 25763001 25785010 25785021 25788007 25793018 25797010 25805007 25808011 25846001 25847001 25855001 25857001 25864001 25875004 25935006 25973001 26066005 26067001 26067022 26070005 26078022 26127001 26167004 26182016 26205008 26242001 26257001 26265004 26288005 26311009 26333017 26352001 26360013 26387019 26401021 26413015 26421009 26424007 26426031 26428014 26435001 26436004 26437007 26449020 26458011 26474001 26482004 26494001 26519001 26572001 26580013 26605006 26639016 26640006 26648001 26663001 26666001 26676001 26684001 26689001 26697015 26707001 26708001 26710001 26718001 26719001 26720026 26722001 26724001 26726022 26735001 26748001 26809004 26816003 26822011 26823006 26837004 26838022 26891001 26891016 26893019 26921004 26922034 27003006 27032001 27214005 27253017 27326016 27472029 27499017 27564032 27579011 27589007 27598001 27624001 27703001 27778013 27792020 27808001 27887012 27964019 27988001 27989001 27993001 28024001 28025001 28070001 28074001 28099001 28109001 28123001 28127001 28148010 28170001 28175008 28185006 28226001 28232040 28263001 28289001 28332001 28382001 28415001 28417001 28425001 28428001 28429008 28440034 28446008 28453001 28458046 28489016 28493015 28509001 28536012 28544001 28558001 28561001 28562001 28563001 28595001 28598001 28608001 28618001 28623048 28650001 28652001 28654001 28694009 28699008 28705009 28706001 28707001 28708001 28714001 28716001 28721001 28731001 28732001 28738001 28748001 28748017 28751001 28751026 28755004 28763025 28773001 28780001 28784012 28787001 28789001 28807020 28830001 28835001 28863001 28894012 28943001 28945001 28956001 28962028 28968001 28979010 28985005 29019001 29019012 29067012 29068037 29096031 29097001 29118014 29124001 29165010 29167001 29174024 29188001 29190003 29191011 29192001 29193013 29197001 29299001 29302001 29383009 29398001 29428016 29522001 29604001 29625001 29668014 29689016 29718005 29742006 29754001 29766001 29775001 29791002 29792001 29808001 29839005 29840001 29840011 29841001 29877001 29878001 29884001 29914029 29916013 29918001 29957001 29971001 29978001 29981013 30003011 30011007 30021020 30022039 30023001 30045001 30061001 30070001 30097001 30100001 30122001 30128001 30131001 30152001 30179001 30221001 30223001 30238046 30247001 30259029 30265012 30269003 30272001 30293001 30298001 30309001 30323001 30333001 30353006 30368001 30368015 30369001 30370001 30374003 30382040 30402019 30465009 30488008 30490019 30491001 30514015 30514041 30531011 30547001 30549001 30554001 30566012 30570022 30597001 30624001 30641001 30641071 30652001 30663001 30723021 30734009 30750026 30754026 30767009 30871026 30878001 30986016 31099021
Akeldama|1|26943020
Akhaikus|1|28794013
Akhaya|12|27570008 27585008 27585028 27585042 27607016 28330008 28792017 28802018 28959033 29000010 29568014 29569013
Akhim|2|23157070 23157074
Akibatnya|1|28060017
Aku'i|1|24913005
