(1-15)|1|30673014
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910009
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
12.000|1|30816004
1260|2|30876021 30898022
144.000|4|30815005 30928018 30930015 30930034
2400|1|31070022
666|1|30927026
AKU|3|26406033 26410023 26650027
ATON|3|26406034 26410024 26650028
Abadon|1|30852027
Abaraham|1|24700036
Abel|6|23954020 25457004 30177004 30177018 30177035 30237028
Abia|3|23151023 24899020 24902008
Abihud|1|23157020
Abilene|1|25027032
Abraham|127|23146010 23146017 23147001 23162003 23202012 23202027 23357014 23905004 24949011 24967004 25034017 25034031 25060006 25535010 25547004 25643020 25644019 25644029 25645002 25646002 25650001 25651010 25652002 25741024 25817023 26415004 26419007 26421005 26421011 26421021 26422015 26434018 26435002 26435025 26438003 26439019 26440010 27010005 27022026 27119018 27121002 27121013 27121017 27122015 27122035 27122037 27122046 27125017 27125020 27133019 27134008 27149009 27389004 28024007 28026005 28032031 28032041 28033009 28034039 28035001 28035035 28036004 28036009 28036022 28039016 28039052 28039056 28040006 28040022 28040024 28041001 28042001 28042032 28045003 28046013 28163004 28163012 28164004 28211019 29012024 29109010 29109012 29110010 29111030 29112002 29112017 29117009 29119008 29119013 29119024 29121025 29122030 29122037 29132010 29154005 29994013 30058005 30060001 30066016 30067002 30069014 30070035 30071020 30071026 30074022 30074024 30075016 30075021 30181004 30181023 30182004 30182015 30183002 30184004 30184011 30184019 30185005 30190005 30190015 30190021 30191005 30192001 30192013 30315003 30317009 30317028 30431007
Abyatar|1|24286013
Adam|15|25064006 28062005 28062029 28062038 28063019 28741010 28764010 28764016 28766001 28766008 28767007 28768007 29730007 29731012 30687005
Adi|1|25054004
Admin|1|25059004
Adramitium|1|27858008
Adria|1|27883010
Agabus|2|27336010 27675016
Agama|18|23257033 24114007 24810007 24828006 24869014 25931020 25986037 26571014 27028007 27114026 27710007 27735028 27750008 27755017 27763020 27790019 29113028 29795001
Agripa|13|27810006 27811014 27819002 27820003 27821005 27823035 27825001 27826006 27843005 27850003 27851003 27852002 27856002
Agustus|1|24975005
Ah|1|26370014
Ahas|1|23151029
