(1-15)|1|30673013
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910009
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|3|23148001 23149001 23150001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:27)|1|27205001
(9:30)|1|25333001
666|1|30927027
A'aro'õ|1|29873020
A'aroni|1|30035024
Abadono|1|30852020
Abakha|2|28369015 29337001
Abe'e|3|26318010 28232013 28235030
Abe'e'õ|1|27746014
Aberahamo|34|23147001 24967006 25060010 25547005 25645008 25646003 25650003 25651011 25652004 26421004 26422017 26435019 26438004 27010005 27119019 27121004 27133013 28035037 28036026 28039045 28042003 30060005 30067004 30069014 30074029 30074033 30181007 30183004 30184008 30185002 30190007 30192004 30192019 30315003
Abia|2|23151020 24899019
Abiudi|1|23157019
Aboto|39|23505001 23591010 24398001 24428015 25799001 26182007 26253001 26419001 26472001 26548005 26634001 26634012 26642001 26649007 26757001 26768011 27014004 27297001 27546014 27661001 27807019 27850001 27952001 27963001 28011001 28075001 28110001 28139001 28145001 28431006 28483001 28691001 28959001 29071013 29147013 29335001 29565001 29566031 29851013
Abu|8|24093005 24294001 24774001 26608001 26747014 27277001 27356009 28158001
Abua|2|24098012 28055001
Abõbõi|1|25909007
Abõlõ|55|23204028 23264012 23265013 23449005 23613024 23736015 23737013 24079024 24369022 24444001 24582010 24584012 24586011 24614001 24707031 24714014 24776024 25147017 25203007 25314023 25384018 25483001 25654001 25654015 25714001 26511001 26624001 27236001 27535001 27662034 27689001 27890009 28064001 28161010 28209001 28234034 28302001 28306001 28475021 28496017 28497013 28553023 28556020 28698030 28877023 29175001 29301010 29316012 29428001 29791017 29858010 29953009 30198001 30442001 30522001
Abõlõbõlõ|4|23344014 23656026 24242001 27665001
Adamo|7|25064010 28062024 28764010 28764018 28766009 29730002 29731008
Aderia|1|27883012
Adu|1|28587006
Aduwa|2|23397032 25145026
Ae|7|25122012 26370014 26465011 26471006 26963006 30870018 30874018
Ae'e|19|23350014 23728008 24170021 24610017 25204028 25550015 25551004 26173004 26448003 26452016 26885016 27120006 27203008 27203010 27206006 27228005 27232007 27726006 27926005
Aefa|336|23162025 23178001 23181021 23192001 23210001 23211001 23218001 23231001 23237001 23259011 23260039 23350001 23359001 23372008 23386015 23389001 23394001 23410004 23480001 23503001 23512001 23528001 23535020 23550001 23570022 23576007 23592001 23609001 23610012 23617001 23617030 23620001 23626001 23644001 23657008 23663009 23666001 23673001 23693001 23704001 23720001 23749001 23768001 23778008 23784024 23786001 23790001 23812001 23813001 23834013 23839001 23857001 23868012 23900001 23920001 23961001 23972019 24024033 24043001 24082001 24082010 24098001 24100001 24126001 24130020 24154028 24157001 24159010 24161017 24165001 24190013 24223004 24237001 24260015 24265020 24271014 24302001 24309001 24316016 24320001 24337001 24364001 24366001 24374001 24375001 24408012 24414007 24418001 24436001 24447001 24449001 24449025 24498001 24524012 24532001 24535001 24543001 24546001 24548001 24590001 24610035 24656001 24658001 24675027 24675039 24690006 24708022 24719001 24778001 24778017 24781001 24792001 24793001 24795001 24800013 24823014 24842013 24844001 24845001 24851001 24863011 24873021 24873034 24932001 24932015 25025001 25069001 25073001 25078001 25095001 25124001 25135001 25137001 25144001 25152001 25156001 25164001 25186001 25210001 25211013 25234017 25254016 25300001 25301009 25304001 25323001 25325001 25337001 25358001 25380001 25389001 25398016 25402001 25475001 25479001 25525001 25558014 25559001 25566001 25595005 25612001 25628001 25671001 25674001 25690001 25695001 25711032 25717001 25756001 25767008 25792001 25810001 25811001 25856001 25878013 25882001 25884001 25900001 25906001 25916005 25950001 25978001 25989010 25992001 26015009 26017001 26019001 26036001 26037001 26042001 26087001 26095001 26108001 26143001 26185001 26269001 26269009 26273001 26286001 26362010 26382001 26413001 26424001 26434001 26447017 26513001 26531001 26535005 26545001 26584001 26584021 26643015 26652001 26756001 26810001 26819010 26827001 26828019 26829009 26853001 26854001 26864001 26874001 26876001 26878001 26895001 26900001 26918013 26936001 27058006 27081038 27097001 27100013 27128001 27131001 27150001 27162001 27257009 27258008 27308009 27333001 27349001 27355032 27357026 27358030 27436019 27436025 27439001 27459003 27514001 27518001 27533016 27559001 27576001 27576009 27585001 27628017 27629020 27666011 27671001 27685011 27691013 27698014 27705020 27719001 27757012 27758001 27760001 27765001 27770014 27793001 27856001 27861001 27863012 27891015 27896015 27914017 28236001 28328022 28725001 28726001 28743001 28783010 29079001 29451001 29621001 30125014 30127001 30143001 30373001 30704001 30770001 30771006 30779023 30781001 30786001 30787001 30791001 30793001 30797001 30799001 30801001 30803001 30805001 30806001 30812001 30813001 30833001 30836001 30838001 30840001 30841001 30870001 30873001 30885001 30888001 30910010 30928001 30940001 30941001 30942001 30944001 30948001 30949001 30954001 30959001 30965001 30971001 30979001 31027018 31029001 31037001 31042001 31051020 31053001 31060001
Aefado|1|27607019
Afana'uma|1|23223012
Afi|1|30111016
Afia|1|29941011
Afioso|1|27915016
Afolio|1|30852025
Afolo|15|27582014 27584002 27585005 27585025 27585033 27586004 27587003 28376017 28415017 28416002 28417004 28433003 28440010 28789004 29937011
Afu'afunia|1|27643015
Afuriata|3|28727001 28765008 29680001
Afuriatania|2|25812001 29348001
Afusi|1|30712001
Afõkha|30|23211014 23215006 23216003 23218005 23219002 23221005 24050027 24229010 25066005 25067003 25069008 25069016 25070002 25073005 25077006 26633011 27063011 28357010 28836008 29004012 29589018 29596027 29738020 29779009 30588018 30682029 30728020 30901012 31047021 31049001
Afõkhõ|3|26017010 27126001 27838028
Afõnu|3|26910011 27960001 28006001
Agabo|2|27336005 27675015
Agama|19|24810012 24869014 25986026 26385007 26571015 27093006 27094008 27095006 27101005 27114026 27117010 27171007 27174008 27710008 27735026 27755020 27763018 27790018 29113022
Agerifa|12|27810007 27811016 27819002 27820004 27821004 27823025 27825002 27826002 27843004 27850005 27852002 27856004
Agu|2|23397041 24283030
Aha|1|25478010
Ahakhõ|7|23666010 23755001 23827001 24257001 24442015 24503001 26557001
Ahasi|1|23151026
Ahatõ|2|25278001 28197004
Ahenia|1|30864011
Aheta|1|25105001
Ahulõ|1|26814009
Ahõli|11|23356001 24691021 26004025 26184008 26344001 27036001 27148001 27190016 27238001 27305016 27404007
Ahõlihõli|8|24414001 24915007 25100001 25205001 27008024 27305001 29064001 30451001
Aila|1|29011001
Aine|22|23355027 23389025 23627004 23984022 24030029 24032028 24292011 25155013 25204038 25659021 25673004 26091015 27151022 30770035 30795033 30797019 30799018 30801019 31063024 31098008 31098018 31101015
Akha|33|23301008 23570001 23777006 24155007 24544010 25003009 25362003 25608007 25649011 25650013 25705008 25958026 26944011 26944024 27655026 27790001 28208009 28219004 28220001 28249022 28281001 28286024 28303001 28317007 28374026 28505001 28508001 28592008 28707018 28719001 28790007 28799001 30538001
Akhaiko|1|28794008
Akhaya|3|28330013 28792014 28802015
Akhelidama|1|26943016
Akhimi|1|23157023
Akila|8|27560009 27560016 27576022 27577007 27584015 28340006 28796016 29890004
Alai|32|23481001 23735001 23932001 23933001 23934001 23935001 23938001 23942001 23944001 23946001 23948001 23977001 24735001 25171001 25172001 25172009 25173001 25377001 25448001 25449001 25450001 25452004 25453001 25458001 25850001 28557022 30841014 30841015 30841016 31004018 31010003 31013015
Alau|2|27221001 27712001
Alesandria|4|27111032 27582012 27862009 27911013
Alesandro|6|24848031 27029011 27619005 27619017 29717007 29885001
Aleu|1|30399018
Alifai'o|1|24307008
Alimagõ|1|25774002
Alio|4|24244001 24329011 28007001 30758001
Alio'õ|5|26658013 27255029 27280001 27345024 27723008
Alitõ|1|28424017
Alua|34|23167001 23185009 23187001 23439001 23525001 23831001 23965016 23992002 24341012 24748004 24852001 25348001 25838014 25850015 26073001 26220010 26725001 26818001 26850022 26862001 27075001 27341022 27356001 27383001 27416001 27699020 27744001 28079008 28579001 28771001 28810009 29625023 29675026 30757020
Alui|2|29880001 29892001
Ama|164|23292008 23352002 23354008 23408024 23485007 23487019 23537011 23591013 23646009 23657018 23716003 23720014 23857024 23928004 23961029 23994019 24094015 24097010 24253012 24256018 24321013 24388006 24396012 24624011 24640013 24706012 24750021 24767035 24774014 24784008 24786009 24791003 25120041 25200021 25202019 25215010 25216020 25266007 25291017 25314015 25359013 25361018 25363007 25385017 25385048 25386024 25408010 25542006 25601006 25607010 25608012 25610007 25618011 25648009 25665008 25717012 25730012 25819010 25874006 25907008 25907023 25934011 25970005 25982007 26041007 26156003 26166011 26168006 26172006 26184042 26218007 26231004 26232005 26233004 26234004 26234011 26237006 26237018 26248002 26285037 26292003 26302009 26304011 26304019 26315001 26323016 26386007 26387027 26393003 26395009 26400007 26477009 26496012 26499003 26565016 26608009 26609002 26630012 26678028 26679027 26716022 26732019 26750024 26754005 26756012 26757018 26761014 26765002 26765013 26766013 26766023 26768021 26771019 26771030 26771038 26777003 26781032 26782018 26783022 26783029 26784002 26784029 26785002 26785024 26795011 26883024 26911021 26928017 26983018 27119011 28039049 28132036 28310013 28534007 28804003 28804008 29021005 29138022 29210003 29224004 29279007 29325011 29361003 29469025 29478008 29535023 29562014 29651014 29698027 29811014 29897020 29942005 30294007 30376043 30378005 30497012 30565010 30566022 30618016 30626022 30649011 30650023 30655033 30674011
Ama-Gu|7|23487008 23690017 23747020 23816033 26436013 26692012 26701008
Ama-Nia|5|23487029 26229033 26230019 26634011 29969030
Ama-U|4|25022022 27396022 29969016 30036026
Amabu'ula|3|27831001 28626014 30016001
Amada|17|27938009 28365051 28743028 28803004 29059025 29059058 29062005 29209013 29364004 29463003 29564008 29602006 29604015 29652004 29678009 30222007 30329008
Amaedola|1|30326001
Amagu|20|24556007 24577006 24609005 24719017 24791004 24800011 25351004 25389014 25645007 25651010 25707009 25801016 25808002 26094004 26123011 26607017 26690009 26931005 28132038 29138024
Amakhaita|2|29431008 29431033
Amakhoita|11|23635007 23694029 23921005 23932004 23933004 23934004 23942004 23944004 23946004 23948004 30558012
