(1-15)|1|30673019
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910012
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
AU|3|26406036 26410029 26650033
Abadon|1|30852024
Abaraham|2|28024010 28039058
Abia|4|23151034 23151035 24899018 24902006
Abihud|2|23157030 23157031
Abilene|1|25027039
Abraha|3|29117012 29122042 29154005
Abraham|123|23146015 23146025 23147001 23162003 23202006 23202020 23357018 23905003 24700035 24949010 24967004 25034017 25034036 25060005 25535009 25547005 25643026 25644020 25644031 25645009 25646002 25650002 25651012 25652002 25741034 25817030 26415007 26419009 26421008 26421021 26421031 26422019 26434019 26435002 26435023 26438003 26439021 26440012 27010003 27022027 27119019 27121002 27121015 27121020 27122007 27122039 27122043 27122050 27123004 27125024 27133019 27134012 27149009 27389003 28026007 28032035 28033012 28035001 28035025 28035040 28036003 28036012 28036023 28039021 28039053 28040004 28040025 28040027 28041001 28042004 28042033 28043001 28044001 28045006 28046017 28163003 28163016 28164006 28211022 29012033 29109017 29110014 29111032 29112001 29112018 29119007 29119012 29119027 29121030 29122030 29132010 29994014 30058006 30060001 30066018 30067002 30069021 30070039 30071021 30071028 30074028 30074032 30075013 30075023 30181007 30181027 30182005 30182017 30183002 30184007 30184015 30184022 30185002 30190008 30190025 30190027 30191005 30192001 30192018 30315005 30317013 30317037 30431006
Abraham-nae|1|29109014
Abyatar|1|24286016
Adam|15|25064005 28062003 28062031 28062052 28063015 28741013 28764013 28764020 28766001 28766010 28767009 28768012 29730008 29731007 30687010
Ade|184|23176010 23281019 23308029 23309032 23326001 23373014 23375025 23395004 23395010 23408021 23483008 23493005 23500024 23502002 23591005 23595001 23595012 23646011 23650004 23651001 23682007 23699001 23699018 23749028 23761001 23766019 23767004 23806020 23808001 23815014 23869005 23904001 23960005 24035011 24100015 24110009 24117011 24124019 24141017 24143007 24147012 24345006 24411001 24482005 24482012 24518021 24524039 24538001 24627014 24683005 24796013 24803009 24815013 24816017 24822017 24831017 24836005 25023012 25086024 25098011 25142004 25150004 25215010 25315025 25446004 25511001 25535021 25669005 25696016 25917030 25942009 25976011 26010012 26018001 26024007 26033050 26066014 26066032 26125020 26169023 26300005 26319012 26325010 26328004 26348001 26354007 26355016 26364029 26376006 26377001 26381004 26392019 26430008 26443019 26449024 26460004 26466004 26476025 26481019 26503014 26516004 26533005 26550017 26564006 26574001 26608012 26643019 26669004 26679002 26758005 26797015 26811015 26812015 26819013 26820003 26821004 26825016 26841015 27009032 27118008 27145013 27167001 27169001 27207021 27238015 27238028 27278006 27588005 27730023 27731017 27806014 27851006 28019016 28021011 28023001 28024018 28032001 28070008 28072001 28084010 28148001 28151001 28152001 28152012 28170001 28176019 28177001 28207005 28208005 28211004 28427001 28441010 28455009 28470001 28471001 28477001 28542001 28542009 28542016 28542028 28545001 28546001 28590012 28614008 28623007 28623020 28715001 28843001 28997038 29001008 29040004 29041018 29068001 29068031 29099038 29105009 29108018 29124001 29148001 30308020 30314005 30331001 30339020 30342010
Adi|1|25054003
Admin|1|25059003
Adramitium|1|27858006
Adria|1|27883012
Agabus|2|27336010 27675013
Agama|29|23257024 24114009 24727017 24810008 24828009 24869017 25931022 25986045 26571015 27093004 27095006 27101008 27114025 27735032 27755022 27763025 27790025 28038001 28103001 28104001 29113035 29120030 29122024 29122045 29177001 29245001 30084001 30093001 30135001
Agripa|13|27810007 27811017 27819002 27820003 27821005 27823046 27825002 27826002 27843005 27850003 27851003 27852002 27856002
Agustu|1|24975005
Ah|1|26370017
Ahas|2|23151052 23151053
Ai|10|23334001 23335001 23523001 23572001 24355025 25190001 25191001 25538022 28227001 30332001
Ainom|1|26144021
Ainon|1|26144011
Akeldama|1|26943027
Akhaikus|1|28794006
Akhaya|12|27570007 27585009 27585022 27585034 27607015 28330006 28792020 28802014 28959035 29000013 29568017 29569015
Akhim|2|23157042 23157043
Akidoo|1|26331006
Akwila|8|27560011 27560017 27576024 27577010 27584014 28340008 28796012 29890009
