(1-15)|1|30673030
(1-6b)|1|23151001
(10:14)|1|26497001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910015
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:7)|1|30275001
(1:73)|1|24968001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:8)|1|29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(6:32)|1|26291001
(6:38)|1|26297001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:20)|1|23401001
(9:30)|1|25333001
1260|2|30876031 30898030
144.000|3|30928028 30930025 30930050
16-9|1|24894044
2400|1|31070041
666|1|30927044
A'a-ari|1|29537001
ANNA|1|23253055
Abadon|1|30852032
Abaraham|1|26415004
Abia|3|23151048 24899025 24902008
Abihud|1|23157032
Abilene|1|25027044
Abo|3|25938016 27775001 28217005
Abraham|132|23146014 23146017 23147002 23162003 23202018 23202040 23357025 23905006 24700045 24949019 24967006 25034030 25034055 25060006 25535009 25547007 25643022 25644032 25645006 25646006 25650003 25651017 25652005 25741039 25817045 26419012 26421008 26421021 26421035 26422021 26434028 26435002 26435025 26438003 26439026 26440018 27010003 27022035 27119013 27121005 27121020 27121028 27122020 27122033 27123010 27125026 27125033 27133024 27134013 27149011 27389005 28024017 28026013 28032058 28032073 28033020 28033037 28034063 28035001 28035019 28035058 28036006 28036023 28036041 28036047 28039027 28039070 28039076 28040010 28040035 28040040 28041001 28042009 28042049 28044005 28045008 28046019 28163005 28163015 28164011 28211028 29012018 29109015 29109019 29110018 29111048 29112001 29112041 29117023 29119009 29119015 29119031 29121037 29121046 29122037 29122047 29132014 29154008 29994019 30058007 30060005 30066021 30066038 30066048 30067006 30069020 30069039 30070044 30071024 30071042 30074036 30075023 30075033 30181014 30181040 30182009 30182023 30183008 30184012 30184026 30184036 30185003 30190014 30190028 30190045 30191008 30192004 30315003 30317013 30317048 30431010 30431013
Abyatar|1|24286021
Adam|15|25064006 28062009 28062044 28062060 28063030 28741018 28764018 28764026 28766001 28766010 28767006 28768013 29730011 29731003 30687007
Ade|1|27978028
Adhi|1|27064066
Adho|165|23163035 23338001 23344030 23375022 23483023 23494001 23509001 23513011 23690012 23750006 23846048 24035013 24124025 24346001 24368014 24491015 24513022 24513023 24784001 24822025 24901001 24949001 25011022 25067007 25073024 25086023 25151001 25379020 25511019 25519003 25522001 25524001 25544040 25881004 25923032 25975018 26066021 26066029 26121001 26190014 26235038 26290011 26325016 26341024 26354015 26355025 26364033 26381008 26432001 26449035 26450013 26495022 26515008 26564007 26610027 26699001 26716001 26740043 26746053 26771011 26780001 26803030 26811017 26811037 26812020 26813008 26826008 26857001 26907027 27064001 27067016 27088006 27145016 27159046 27238019 27274006 27316007 27390025 27452001 27549001 27588029 27613018 27727036 27788033 27954001 27956015 27998001 28001020 28019043 28023025 28071008 28084039 28098032 28099049 28154001 28157020 28162001 28163001 28212001 28214026 28221026 28377008 28390021 28465046 28465049 28517007 28664016 28670020 28671001 28674001 28713011 28728008 28770009 28855001 28882031 28899001 28929026 28974060 29004001 29051023 29068023 29070001 29103001 29148001 29189001 29196004 29309001 29347060 29425054 29430001 29575001 29575002 29857001 29900020 29912039 30007008 30013018 30014008 30018038 30020010 30055006 30092001 30102001 30102028 30104001 30139024 30142006 30188001 30215054 30247035 30337050 30359001 30367041 30513021 30532001 30614010 30647026 30692013 30722015 30827001 30868043 31008037 31016033 31043092 31086001
Adi|1|25054004
Adjo|1|26794005
Admin|1|25059004
Adramitium|1|27858010
Adria|1|27883016
Ae|49|23198001 23200001 23664001 23765001 23835001 24102022 24274010 24296025 24389009 24410014 24421001 24468023 24637001 24649001 24715032 24724001 24811001 24895009 24910001 25033001 25109012 25137016 25208043 25311028 25388008 25420029 25930001 25963001 26196001 26341001 26360001 26369001 26502001 26523001 26569001 26579013 26610001 26739001 26846001 26898001 26991001 27184001 27536001 27604001 27865014 27910001 28869001 29016001 29665037
Agabus|2|27336012 27675020
Aggo|14|23718042 23728029 23728056 24558049 24777049 25343049 25756011 25882028 25950006 26817007 26832030 27752014 27759010 30871036
Aggu|6|23616007 23990001 24081043 24746001 25575046 29884025
Ago|1|28626021
Agripa|13|27810013 27811021 27819005 27820005 27821008 27823046 27825004 27826004 27843008 27850004 27851005 27852005 27856004
Agustus|1|24975008
Ah|2|26370020 26963012
Ahas|1|23151066
Aigama|22|23257044 24114013 24810007 24828007 24869018 25931027 25986051 25986066 26571021 27028013 27093006 27095011 27101006 27114037 27171007 27710008 27735049 27750009 27755028 27763036 27790034 29113044
Ainon|1|26144019
Ajha|9|23767008 23889043 24216001 24688031 27647028 27984019 29759001 29873051 29924001
Ajhe|2|26250001 30732036
Ajhu|1|28587009
Ajjhi-ae|1|30976001
Akeldama|1|26943034
Akhaikus|1|28794011
Akhaya|12|27570010 27585013 27585035 27585046 27607019 28330007 28792025 28802013 28959044 29000023 29568020 29569020
Akhim|1|23157044
Akwila|8|27560014 27560019 27576032 27577011 27584020 28340009 28796010 29890007
Aleksander|6|24848047 27029018 27619019 27619037 29717009 29885001
Aleksandria|4|27111034 27582017 27862014 27911020
Alfeus|5|23421013 24275023 24307008 25162006 26937041
Alla|63|23426025 23948015 23983007 24134005 24202007 24203017 24310007 24391001 24557026 24565036 24658001 24718028 24880038 25289023 25342001 25383008 25717008 25998007 26026015 26086014 26090011 26349008 26507004 26538013 26768001 26772028 26774001 26782001 26881017 26942028 26948019 27050028 27399001 27531012 27576001 27588007 27709001 27749020 27755010 27848015 28098016 28218013 28290001 28365006 28552001 28746012 28910016 29170027 29417026 29508055 29655016 29846001 30065018 30086020 30177063 30483001 30665001 30668001 30716008 30790001 30935017 30996009 31020021
Alle|38|23717001 25131008 25244010 26502005 26609019 26764001 26766001 26786001 26870022 26893013 26974015 26983001 27012001 27389018 27397001 27719008 27746021 27932021 28017001 28040011 28120029 28140026 28320001 28795001 28955017 29041001 29501001 29883001 30144001 30154001 30262001 30406013 30443058 30596022 30636007 30684006 30739001 31020047
