(1-15)|1|30673020
(12-18)|1|30910001
(13-1)|1|30910011
(13-12b)|1|29057001
(13-13)|1|29058001
(19:40)|1|27627001
(20:8)|1|26877001
(3-1b)|1|29423011
(7-26)|1|28117014
(8-1b)|1|27178010
Abadon|1|30852015
Abba|1|28132022
Abdi|91|23207005 23606010 24033009 24070001 24077008 24094019 24094024 24097017 24134003 24176014 24176018 24383011 24544012 24861018 24912009 25023010 25116017 25202028 25204001 25359011 25386011 25618006 26100007 26182005 26326004 26566001 26566004 26566017 26668013 26764001 26766026 26767010 26768009 26768020 26768028 26769003 26769020 26770008 26770017 26770019 26771001 26771036 26772004 26772015 26773009 26773018 26774003 26776011 26778002 26778012 26779001 26780004 26780011 26781010 26781012 26781031 26782003 26782011 26783001 26783008 26783026 26783040 26784010 26784020 26784023 26784032 26784036 26784045 26785014 26785025 26786004 26786016 26786023 26795016 27050023 27053020 27089004 27092001 27196003 27274005 27749008 27785001 27838001 27849003 27850018 28313018 29990008 30139028 30141004 30141009 30143003
Abdi-Na|2|27010019 27023011
Abdi-abdi|8|23394009 23790003 23883001 24617004 24813001 25351004 25545003 27750022
Abia|3|23152006 23152007 24899013
Abilene|1|25027035
Abinadab|2|23149003 23149004
Abiud|2|23158003 23158004
Abyatar|1|24287018
Acan|2|28033012 29669011
Adam|10|25064006 28062016 28062034 28063012 28740007 28741010 28764010 28764016 29730011 30687011
Adat|1|27545001
Adi|1|25054004
Adi-adina|1|24411017
Adil|1|27011003
Admin|1|25059004
Adramiti|1|27858008
Adriatik|1|27883017
Aduh|2|24372003 26479008
Agabus|2|27336006 27675010
Agama|20|23257028 23435024 24727009 24810005 24828013 24869017 25931023 26122006 26571011 27081028 27087005 27094003 27101005 27114023 27171004 27735033 27750005 27763011 27790026 27791025
Agan|1|24020008
Agripa|10|27810007 27819003 27820004 27821007 27823027 27825003 27826003 27851004 27852002 27856003
Agul|1|28019015
Agung|80|23174005 23270019 24058014 24106021 24112008 24113010 24117003 24118006 24120003 24802018 24808007 24809011 24815003 24816010 24816021 24818004 24821018 24926012 24929015 24970012 25027044 25182029 25212013 25274020 25915010 25919011 25986011 25987010 26573004 26575014 26796015 26799013 26801022 26805005 26808019 26810010 26812010 27029004 27029017 27077011 27081020 27087010 27118002 27165004 27219008 27501019 27613014 27614009 27620014 27710010 27737006 27739012 27740008 27749005 27771006 29219020 29995022 30029011 30030002 30036008 30041006 30042006 30065019 30066011 30091004 30092002 30093002 30093016 30093033 30094009 30094016 30096004 30096013 30117007 30155003 30253004 30262023 30461019 30470005 30948011
Agungkeun|1|30934009
Agungna|3|24287016 29997024 30113011
Agus|1|25210009
Agustus|1|24975008
Ahad|1|27634003
Ahas|2|23154006 23154007
Ahaya|11|27570004 27585010 27585029 27607014 28330008 28792011 28802022 28959017 29000020 29568012 29569013
Ahim|2|23159006 23159007
Ahir|4|30716007 30726016 31060012 31094010
Ahirna|13|23535031 23900001 24115009 24287001 24382001 25889001 26572010 27127001 27445014 27621001 29091001 29696001 30006001
Ahli|1|24706001
Ahli-ahli|2|23921001 25129001
Aing|7|23534002 25430022 27601008 30308007 30764003 31001016 31001019
Ainon|1|26144006
Ajaib|1|25100007
Ajakan|1|29882009
Ajal|10|28745008 28771023 28772005 28772009 28773006 28773011 28773031 28774002 28775002 30802008
Ajeunna|1|29109011
Akaikus|1|28794008
Akel-dama|1|26943013
Akibatna|1|26591001
Aku|1|28793001
Akuila|8|27560012 27561002 27561018 27576037 27577008 27584018 28796009 29890006
Akwila|1|28340007
