(1-15)|1|30673009
(10:1)|1|25366001
(10:14)|1|26497001
(10:3)|1|28572001
(12-18)|1|30910001
(12:3)|1|29027001
(13-1)|1|30910012
(13:13)|1|29058001
(13:38)|1|27402001
(15:42)|1|24870001
(16:3)|1|24878001
(1:1)|8|28366001 28367001 29060001 29061001 29468001 29699001 29812001 30377001
(1:12)|4|23158001 23159001 23160001 23161001
(1:13)|1|28815001
(1:2)|4|23148001 23149001 23150001 29564001
(1:21)|1|26946001
(1:24)|1|26949001
(1:3)|1|29470001
(1:6)|5|23152001 23153001 23154001 23155001 23156001
(1:73)|1|24968001
(20:2)|1|31042001
(23:50)|1|25987001
(2:15)|2|28841001 29408001
(2:16)|1|29679001
(2:25)|1|24287001
(2:26)|1|30745001
(2:30)|1|26981001
(2:7)|2|29238001 29239001
(2:9)|1|23180001
(3:23)|1|26145001
(4:1)|1|29134001
(4:11)|1|29616001
(4:34)|1|27058001
(4:36)|1|27060001
(4:7)|1|26165001
(5:12)|1|28468001
(5:3)|1|28459001
(5:7)|1|30633001
(6-6b)|1|24414005
(6:22)|1|23306001
(7:24)|1|28117001
(8:13)|1|28947001
(8:27)|1|27205001
(8:8)|1|24510001
(9:13)|1|26455001
(9:17)|1|30859001
(9:20)|1|23401001
(9:30)|1|25333001
144.000|4|30815008 30928020 30930022 30930041
2400|1|31070030
430|1|29120044
60|1|31071013
666|1|30927037
Aa|20|25238016 25478010 26700026 27014001 27547030 27553001 28384001 28849065 28973030 29039001 29123001 29282001 29389001 29986009 30012001 30077001 30120001 30392016 30446001 30464022
