(1-15)|1|30673012
(11:17)|1|30191001
(11:5)|1|25412001
(12-18)|1|30910001
(12:10)|1|26592001
(12:16)|1|23507001
(12:3)|1|29027001
(13-1)|1|30910008
(13:13)|1|29058001
(14:13)|1|25568001
(14:5)|1|25560001
(14:8)|1|25563001
(15:51)|1|28771001
(15:9)|1|24837001
(19:20)|1|25753001
(19:33)|1|25766001
(19:47)|1|25780001
(1:1)|3|29060001 29699001 29812001
(1:13)|2|28815001 30494001
(1:23)|1|29386001
(1:73)|1|24968001
(1:8)|1|30384001
(20:42)|1|25823001
(22:1)|1|25867001
(22:63)|1|25929001
(23:50)|1|25987001
(24:20)|1|26013001
(24:42)|1|26035001
(27:39)|1|24170001
(2:16)|1|29679001
(2:17)|1|24992001
(3:14)|1|29267001
(3:2)|1|29594001
(3:5)|2|29930001 30431001
(3:9)|1|24299001
(4:1)|1|29134001
(4:10)|1|25075001
(4:5)|1|27029001
(4:7)|1|26165001
(4:9)|1|29881001
(5:28)|1|26240001
(5:37)|1|26249001
(6:2)|1|29341001
(6:3)|1|25151001
(7-26)|1|28117011
(8:41)|1|25288001
(9:11)|1|28168001
(9:43)|1|24583001
(9:45)|1|24585001
11:13|1|30811020
16:18|1|30811021
21:25|1|30811018
A|15|24018007 24021005 24384003 24424010 24823004 24825004 25605017 25651002 26021006 26370015 27274004 27316007 30706003 31060015 31094003
Abadon|1|30852015
Aben|102|23205001 23274008 23275001 23329001 23643001 23766014 23768006 23770006 23789013 24268012 24317001 24345008 24369001 24419020 24600002 24616006 24619031 24622009 24673001 24714014 24892007 25008028 25040022 25043001 25049026 25129023 25173001 25177001 25439001 25450016 25493031 25639001 25673001 25675001 25740022 25763001 25821007 25967001 26121001 26150001 26605001 26665001 26891001 26891012 27969001 27970001 28029001 28030001 28031001 28141016 28206013 28209013 28209023 28301001 28446011 28446018 28447001 28491011 28499023 28529010 28533001 28673001 28878001 28878018 28922022 28928047 29010001 29024001 29051033 29122010 29189001 29196001 29196013 29213001 29311001 29374008 29524001 29549020 29567011 29625001 29637001 29666001 29757001 29783001 29799001 29833001 29933001 29967039 29976001 29976012 30032017 30122001 30139014 30246001 30248015 30294001 30307001 30318001 30596001 30622023 30642001 30727001
Abia|3|23152007 24899015 24902003
Abian|1|23152009
Abihud|1|23158003
Abihuren|1|23158005
Abilene|1|25027051
Abilir|2|26964001 27595024
Abiye|1|30970013
Abraham|90|23146005 23162001 23202004 23202011 23357010 23905005 24700021 24949002 24967002 25034015 25034027 25060009 25060010 25547001 25643010 25644018 25645009 25646002 25651004 25652002 25741006 25817026 25818001 26419002 26421008 26421015 26434018 26435004 26438002 26439029 26440004 27010002 27022011 27119018 27121002 27124022 27134002 27149013 27389002 28024002 28025001 28025013 28026001 28026009 28032021 28033001 28033023 28034003 28034059 28034062 28035007 28035010 28035023 28035047 28036001 28039022 28039056 28040016 28041013 28043006 28046011 28163009 28163019 28164002 29110009 29111028 29112001 29117002 29119001 29119016 29121020 29121030 29122019 29154001 29994010 30058002 30060001 30066018 30069005 30071010 30071017 30074001 30181001 30182037 30185001 30190026 30315002 30317019 30317038 30430032
Abrahamen|24|23147001 25535027 25650002 26415006 26421018 26422033 27125011 27133008 28037009 28039044 28045001 28163001 28164025 28211027 29012024 29012032 29109001 29109019 29119031 29132007 30067003 30070045 30183022 30190001
Abug|10|23521009 23521022 24268009 24317015 24318006 25470023 26299018 27404003 27961011 30681016
Abuwap|1|28280013
Abyatar|1|24287002
Adam|9|25064009 25064010 28062009 28062022 28062042 28741004 28764011 28764020 29730006
Adamen|2|29731002 30687001
Adi|2|25054006 25054007
Admin|2|25059006 25059007
Adramitiumen|1|27858005
Adria|1|27883002
Agabus|2|27336006 27675009
Agripa|15|27810007 27819003 27820005 27821009 27823028 27825005 27826001 27831026 27837002 27843002 27850003 27851002 27852001 27854008 27856004
Ahaluwe|8|23860019 24064001 24067001 24759006 24760001 26586001 28622001 30765038
Ahamu|2|23532001 25437012
Ahap|1|26605022
Ahas|1|23154007
Ahasen|1|23154009
Ahime|15|27353022 27451009 28098042 28128012 28128032 28132019 28144013 28144036 28845029 29221020 29268007 29303014 29475032 30377011 30461014
Ahiyeg|8|23605001 25205007 25945001 26438017 27331019 29461027 29720011 30215034
Ahuhe|1|24929013
Ahun|57|23287013 23289023 23301028 23767008 23773011 23940016 23941016 24137018 24193007 24900001 25944028 26357029 26863008 27011008 27012007 27169017 27169037 27299019 27560029 27719025 27956029 27956041 28062047 28095001 28095018 28385023 28493001 28493034 28499001 28502001 28527008 28746032 28851007 28851018 28923009 29218014 29266023 29645007 29695006 29780001 29820009 29998018 30002011 30262005 30350011 30364018 30423020 30564008 30565019 30671019 30754020 30761024 30787013 30810016 30868020 30877026 31017009
Ainon|1|26144005
Ak|4|26727001 28960020 29820001 30652012
Akhaikus|1|28794005
Akhaya|12|27570010 27585003 27585016 27585040 27607012 28330016 28792010 28802041 28959021 29000012 29568013 29569010
Akhim|1|23159007
Akhimen|1|23159009
Akol|4|24092020 24788017 24789001 24907001
Akwila|6|27560007 27576056 27584014 28340010 28796012 29890003
Aleksander|5|24848011 27028027 27619010 29717005 29885002
Aleksandria|2|27111016 27582008
Aleksandrian|2|27862015 27911009
Alele|2|27617001 27678001
Alem|92|23167001 23187001 23193011 23363001 23385001 23553001 23744026 23913001 23980001 23987001 24139001 24143004 25131001 25486001 25692025 25855001 25958015 26140001 26464001 26612001 27471001 27625001 27764021 27765037 27786001 27808018 27996037 28262010 28383001 28383008 28384015 28395001 28402001 28404001 28411001 28430024 28431006 28529012 28529026 28635022 28676001 28721024 28806001 28807001 28807032 28808001 28841023 28851001 28877001 28903015 28921016 28928055 28943020 28996020 29092001 29109016 29150001 29271018 29484011 29509015 29593023 29593048 29654019 29842022 29851001 29995001 30049001 30085001 30094001 30111031 30129018 30149001 30220001 30224001 30260008 30288001 30317035 30344015 30356009 30364001 30364015 30367029 30488001 30526001 30539012 30634001 30663018 30672001 30919030 30939001 30961027 30985001
Alemet|1|30726013
Alfeus|5|23421011 24275005 24307013 25162005 26937034
Aliliyangge|3|26622009 29987033 31001001
Aliyek|1|23378004
Alkitab|1|29761013
