(1-6b)|1|23151001
(10:12)|1|23431001
(10:13)|1|28986001
(10:14)|1|26497001
(10:15)|1|08257001
(10:16)|1|28206001
(10:18)|1|12272001
(10:24)|1|23443001
(10:31)|1|12285001
(10:34)|8|12288001 12289001 12290001 12291001 12292001 12293001 12294001 12295001
(10:37)|1|27298001
(10:6)|2|28196001 30869001
(10:7)|2|12261001 25372001
(11:1)|2|26526001 26527001
(11:11)|2|23472001 28613001
(11:17)|1|25424001
(11:18)|1|12608001
(11:21)|1|25428001
(11:23)|1|27332001
(11:28)|1|28630001
(11:3)|2|00271001 12593001
(11:32)|1|24674001
(11:37)|1|30211001
(11:5)|1|28216001
(11:50)|1|25457001
(11:56)|1|26581001
(11:9)|1|30883001
(12:1)|1|28248001
(12:14)|1|08302001
(12:17)|1|26599001
(12:18)|1|28654001
(12:2)|1|29026001
(12:22)|1|28658001
(12:24)|1|08312001
(12:25)|1|23516001
(12:28)|1|26610001
(12:35)|1|25496001
(12:4)|2|00304001 28251001
(12:40)|1|01858001
(12:8)|1|12634001
(12:9)|1|17534001
(13:15)|1|07502001
(13:18)|1|08337001
(13:20)|1|30263001
(13:3)|1|00323001
(13:4)|2|12677001 12678001
(13:40)|2|23581001 23582001
(13:5)|1|23546001
(13:6)|3|00326001 27370001 27371001
(14-24)|1|28362001
(14-26)|1|28364001
(14:1)|1|00339001
(14:11)|1|00349001
(14:13)|1|07523001
(14:3)|1|23602001
(14:4)|2|07514001 30932001
(14:47)|1|07557001
(14:55)|1|24811001
(15:10)|2|08401001 08402001
(15:19)|3|00381001 00382001 08410001
(15:2)|1|00364001
(15:33)|1|27477001
(15:4)|1|28309001
(15:47)|1|28767001
(15:7)|1|24835001
(16:1)|1|24876001
(16:15)|2|00398001 30971001
(16:19)|1|30975001
(16:25)|1|28363001
(16:32)|2|27517001 27518001
(16:5)|1|26733001
(16:9)|1|00392001
(17:1)|1|25654001
(17:11)|2|00410001 23713001
(17:13)|1|07633001
(17:24)|2|08475001 08476001
(17:26)|1|00425001
(17:28)|1|08479001
(17:35)|1|25688001
(17:9)|1|00408001
(18:1)|3|02002001 02003001 02004001
(18:15)|1|26802001
(18:19)|2|27578001 27579001
(18:4)|1|08484001
(19:1)|1|02029001
(19:13)|1|27600001
(19:2)|1|07710001
(19:24)|1|08537001
(19:9)|1|08522001
(1:1)|19|07130001 24218001 27933001 27934001 27935001 27936001 27937001 27938001 28366001 28367001 29060001 29061001 29468001 29699001 29812001 29895001 29896001 29897001 29941001
(1:12)|5|07141001 23158001 23159001 23160001 23161001
(1:13)|3|12717001 28815001 30389001
(1:14)|1|00015001
(1:15)|5|28817001 29074001 29223001 29378001 29379001
(1:16)|3|26941001 29827001 29828001
(1:17)|2|08041001 30498001
(1:18)|1|28820001
(1:19)|1|24236001
(1:2)|5|23148001 23149001 23150001 26927001 29564001
(1:20)|1|01554001
(1:21)|1|26946001
(1:23)|1|29963001
(1:24)|1|00025001
(1:26)|1|24921001
(1:32)|2|26078001 26079001
(1:40)|2|26086001 26087001
(1:5)|1|30704001
(1:6)|6|23152001 23153001 23154001 23155001 23156001 28808001
(1:7)|2|12711001 30275001
(1:9)|2|22542001 29707001
(20:11)|2|08567001 08568001
(20:12)|1|31052001
(20:14)|1|31054001
(20:17)|1|00514001
(20:2)|1|31042001
(20:8)|1|08564001
(21:12)|2|08594001 31067001
(21:23)|1|27689001
(21:4)|2|07778001 07779001
(21:5)|1|08587001
(21:8)|1|08590001
(22:15)|1|08619001
(22:22)|1|00571001
(22:48)|1|08652001
(22:5)|1|08609001
(23:1)|6|00574001 07813001 07814001 07815001 07816001 07817001
(23:13)|1|08668001
(23:17)|1|25954001
(23:23)|1|27759001
(23:29)|1|23949001
(23:35)|1|23955001
(23:44)|1|25981001
(23:50)|1|25987001
(23:6)|1|08661001
